=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.03.11 17:31:01 =~=~=~=~=~=~=~=~=~=~=~=

Initializing SD card...Card failed, or not present

Date & Time                  Temp (In Fahrenheit)          pH          TDS (In PPM)      Turbidity (In NTU)
2021/3/11 (Thursday) 5:30:37          74.64                 6.92               10               0.61
2021/3/11 (Thursday) 5:30:39          74.64                 6.92               6               0.61
2021/3/11 (Thursday) 5:30:40          74.64                 6.92               10               0.68
2021/3/11 (Thursday) 5:30:41          74.64                 6.94               10               0.61
2021/3/11 (Thursday) 5:30:42          74.64                 6.92               4               0.68
2021/3/11 (Thursday) 5:30:43          74.64                 6.94               10               0.60
2021/3/11 (Thursday) 5:30:44          74.64                 6.94               4               0.66
2021/3/11 (Thursday) 5:30:45          74.64                 6.92               10               0.59
2021/3/11 (Thursday) 5:30:46          74.52                 6.96               6               0.66
2021/3/11 (Thursday) 5:30:47          74.64                 6.94               10               0.66
2021/3/11 (Thursday) 5:30:48          74.64                 6.94               6               0.60
2021/3/11 (Thursday) 5:30:49          74.64                 6.94               4               0.67
2021/3/11 (Thursday) 5:30:50          74.64                 6.96               8               0.62
2021/3/11 (Thursday) 5:30:51          74.64                 6.92               6               0.68
2021/3/11 (Thursday) 5:30:52          74.64                 6.92               10               0.61
2021/3/11 (Thursday) 5:30:53          74.64                 6.94               6               0.68
2021/3/11 (Thursday) 5:30:54          74.75                 6.94               10               0.68
2021/3/11 (Thursday) 5:30:55          74.64                 6.92               6               0.61
2021/3/11 (Thursday) 5:30:56          74.64                 6.92               10               0.67
2021/3/11 (Thursday) 5:30:57          74.64                 6.94               8               0.59
2021/3/11 (Thursday) 5:30:58          74.64                 6.92               4               0.66
2021/3/11 (Thursday) 5:30:59          74.75                 6.92               10               0.60
2021/3/11 (Thursday) 5:31:0          74.64                 6.92               4               0.66
2021/3/11 (Thursday) 5:31:1          74.64                 6.92               10               0.60
2021/3/11 (Thursday) 5:31:2          74.64                 6.94               6               0.60
2021/3/11 (Thursday) 5:31:3          74.64                 6.92               10               0.67
2021/3/11 (Thursday) 5:31:4          74.64                 6.94               6               0.61
2021/3/11 (Thursday) 5:31:5          74.64                 6.92               6               0.68
2021/3/11 (Thursday) 5:31:6          74.64                 6.92               10               0.62
2021/3/11 (Thursday) 5:31:7          74.64                 6.92               4               0.68
2021/3/11 (Thursday) 5:31:8          74.64                 6.94               10               0.62
2021/3/11 (Thursday) 5:31:9          74.64                 6.92               4               0.68
2021/3/11 (Thursday) 5:31:10          74.64                 6.92               10               0.67
2021/3/11 (Thursday) 5:31:11          74.64                 6.96               4               0.60
2021/3/11 (Thursday) 5:31:12          74.75                 6.92               4               0.66
2021/3/11 (Thursday) 5:31:13          74.64                 6.92               10               0.60
2021/3/11 (Thursday) 5:31:14          74.64                 6.92               4               0.66
2021/3/11 (Thursday) 5:31:15          74.64                 6.92               12               0.61
2021/3/11 (Thursday) 5:31:16          74.64                 6.94               6               0.68
2021/3/11 (Thursday) 5:31:17          74.64                 6.94               10               0.61
2021/3/11 (Thursday) 5:31:18          74.64                 6.92               4               0.62
2021/3/11 (Thursday) 5:31:19          74.64                 6.92               10               0.68
2021/3/11 (Thursday) 5:31:20          74.64                 6.96               10               0.63
2021/3/11 (Thursday) 5:31:21          74.64                 6.92               4               0.68
2021/3/11 (Thursday) 5:31:22          74.64                 6.96               10               0.60
2021/3/11 (Thursday) 5:31:23          74.64                 6.94               8               0.68
2021/3/11 (Thursday) 5:31:24          74.64                 6.94               10               0.59
2021/3/11 (Thursday) 5:31:25          74.52                 6.94               4               0.60
2021/3/11 (Thursday) 5:31:26          74.64                 6.90               12               0.67
2021/3/11 (Thursday) 5:31:27          74.64                 6.94               6               0.61
2021/3/11 (Thursday) 5:31:28          74.64                 6.90               6               0.66
2021/3/11 (Thursday) 5:31:29          74.64                 6.94               10               0.62
2021/3/11 (Thursday) 5:31:30          74.64                 6.90               6               0.68
2021/3/11 (Thursday) 5:31:31          74.64                 6.92               8               0.61
2021/3/11 (Thursday) 5:31:32          74.64                 6.94               4               0.68
2021/3/11 (Thursday) 5:31:33          74.75                 6.92               10               0.68
2021/3/11 (Thursday) 5:31:34          74.64                 6.97               4               0.59
2021/3/11 (Thursday) 5:31:35          74.75                 6.94               10               0.67
2021/3/11 (Thursday) 5:31:36          74.75                 6.96               8               0.61
2021/3/11 (Thursday) 5:31:37          74.64                 6.94               4               0.66
2021/3/11 (Thursday) 5:31:38          74.64                 6.94               10               0.60
2021/3/11 (Thursday) 5:31:39          74.52                 6.94               6               0.66
2021/3/11 (Thursday) 5:31:40          74.64                 6.94               10               0.61
2021/3/11 (Thursday) 5:31:41          74.75                 6.94               6               0.61
2021/3/11 (Thursday) 5:31:42          74.64                 6.94               12               0.68
2021/3/11 (Thursday) 5:31:43          74.75                 6.96               4               0.62
2021/3/11 (Thursday) 5:31:44          74.64                 6.92               4               0.69
2021/3/11 (Thursday) 5:31:45          74.75                 6.94               10               0.63
2021/3/11 (Thursday) 5:31:46          74.64                 6.94               6               0.68
2021/3/11 (Thursday) 5:31:47          74.75                 6.90               10               0.60
2021/3/11 (Thursday) 5:31:48          74.64                 6.92               4               0.67
2021/3/11 (Thursday) 5:31:49          74.75                 6.92               10               0.66
2021/3/11 (Thursday) 5:31:50          74.64                 6.94               6               0.60
2021/3/11 (Thursday) 5:31:51          74.75                 6.90               10               0.67
2021/3/11 (Thursday) 5:31:52          74.75                 6.94               12               0.62
2021/3/11 (Thursday) 5:31:53          74.75                 6.89               6               0.68
2021/3/11 (Thursday) 5:31:54          74.64                 6.90               10               0.62
2021/3/11 (Thursday) 5:31:55          74.75                 6.96               4               0.69
2021/3/11 (Thursday) 5:31:56          74.75                 6.90               12               0.62
2021/3/11 (Thursday) 5:31:57          74.64                 6.94               4               0.62
2021/3/11 (Thursday) 5:31:58          74.64                 6.92               12               0.66
2021/3/11 (Thursday) 5:31:59          74.75                 6.92               10               0.61
2021/3/11 (Thursday) 5:32:0          74.75                 6.92               4               0.68
2021/3/11 (Thursday) 5:32:1          74.75                 6.94               10               0.62
2021/3/11 (Thursday) 5:32:2          74.64                 6.96               6               0.67
2021/3/11 (Thursday) 5:32:3          74.75                 6.92               10               0.62
2021/3/11 (Thursday) 5:32:4          74.75                 6.94               4               0.62
2021/3/11 (Thursday) 5:32:5          74.75                 6.92               8               0.69
2021/3/11 (Thursday) 5:32:6          74.75                 6.94               4               0.61
2021/3/11 (Thursday) 5:32:7          74.64                 6.90               4               0.67
2021/3/11 (Thursday) 5:32:8          74.75                 6.92               15               0.59
2021/3/11 (Thursday) 5:32:9          74.64                 6.94               6               0.67
2021/3/11 (Thursday) 5:32:10          74.75                 6.90               8               0.61
2021/3/11 (Thursday) 5:32:11          74.64                 6.94               4               0.67
2021/3/11 (Thursday) 5:32:12          74.75                 6.94               8               0.67
2021/3/11 (Thursday) 5:32:13          74.64                 6.92               4               0.60
2021/3/11 (Thursday) 5:32:14          74.64                 6.92               10               0.68
2021/3/11 (Thursday) 5:32:15          74.75                 6.96               8               0.63
2021/3/11 (Thursday) 5:32:16          74.75                 6.90               6               0.69
2021/3/11 (Thursday) 5:32:17          74.75                 6.92               10               0.61
2021/3/11 (Thursday) 5:32:18          74.75                 6.94               6               0.67
2021/3/11 (Thursday) 5:32:19          74.75                 6.92               10               0.60
2021/3/11 (Thursday) 5:32:20          74.75                 6.96               4               0.60
2021/3/11 (Thursday) 5:32:21          74.75                 6.92               12               0.66
2021/3/11 (Thursday) 5:32:22          74.75                 6.94               10               0.63
2021/3/11 (Thursday) 5:32:23          74.75                 6.94               4               0.68
