=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.03.11 17:31:01 =~=~=~=~=~=~=~=~=~=~=~=

Initializing SD card...Card failed, or not present

Date & Time                  Temp (In Fahrenheit)          pH          TDS (In PPM)      Turbidity (In NTU)
2021/3/11 (Thursday) 5:32:24          74.75                 6.92               10               0.63
2021/3/11 (Thursday) 5:32:25          74.64                 6.96               4               0.69
2021/3/11 (Thursday) 5:32:26          74.75                 6.92               10               0.61
2021/3/11 (Thursday) 5:32:27          74.75                 6.94               4               0.67
2021/3/11 (Thursday) 5:32:28          74.75                 6.90               10               0.67
2021/3/11 (Thursday) 5:32:29          74.75                 6.92               6               0.61
2021/3/11 (Thursday) 5:32:30          74.75                 6.92               2               0.67
2021/3/11 (Thursday) 5:32:31          74.75                 6.94               10               0.61
2021/3/11 (Thursday) 5:32:32          74.75                 6.94               6               0.69
2021/3/11 (Thursday) 5:32:33          74.75                 6.92               12               0.61
2021/3/11 (Thursday) 5:32:34          74.75                 6.96               6               0.69
2021/3/11 (Thursday) 5:32:35          74.75                 6.94               10               0.61
2021/3/11 (Thursday) 5:32:36          74.75                 6.94               6               0.63
2021/3/11 (Thursday) 5:32:37          74.75                 6.92               10               0.68
2021/3/11 (Thursday) 5:32:38          74.86                 6.94               10               0.59
2021/3/11 (Thursday) 5:32:39          74.64                 6.96               6               0.66
2021/3/11 (Thursday) 5:32:40          74.75                 6.96               8               0.61
2021/3/11 (Thursday) 5:32:41          74.75                 6.94               6               0.68
2021/3/11 (Thursday) 5:32:42          74.86                 6.92               10               0.62
2021/3/11 (Thursday) 5:32:43          74.75                 6.96               4               0.62
2021/3/11 (Thursday) 5:32:44          74.75                 6.92               8               0.69
2021/3/11 (Thursday) 5:32:45          74.75                 6.96               6               0.63
2021/3/11 (Thursday) 5:32:46          74.75                 6.94               6               0.68
2021/3/11 (Thursday) 5:32:47          74.75                 6.92               8               0.59
2021/3/11 (Thursday) 5:32:48          74.86                 6.94               4               0.66
2021/3/11 (Thursday) 5:32:49          74.86                 6.92               8               0.61
2021/3/11 (Thursday) 5:32:50          74.86                 6.92               4               0.67
2021/3/11 (Thursday) 5:32:51          74.86                 6.90               12               0.69
2021/3/11 (Thursday) 5:32:52          74.75                 6.96               6               0.62
2021/3/11 (Thursday) 5:32:53          74.75                 6.90               10               0.69
2021/3/11 (Thursday) 5:32:54          74.86                 6.92               10               0.61
2021/3/11 (Thursday) 5:32:55          74.75                 6.92               4               0.67
2021/3/11 (Thursday) 5:32:56          74.75                 6.92               10               0.61
2021/3/11 (Thursday) 5:32:57          74.75                 6.92               8               0.68
2021/3/11 (Thursday) 5:32:58          74.75                 6.94               10               0.62
2021/3/11 (Thursday) 5:32:59          74.75                 6.96               4               0.62
2021/3/11 (Thursday) 5:33:0          74.86                 6.92               8               0.68
2021/3/11 (Thursday) 5:33:1          74.86                 6.96               10               0.62
2021/3/11 (Thursday) 5:33:2          74.75                 6.92               6               0.68
2021/3/11 (Thursday) 5:33:3          74.75                 6.94               10               0.61
2021/3/11 (Thursday) 5:33:4          74.86                 6.92               4               0.66
2021/3/11 (Thursday) 5:33:5          74.86                 6.92               10               0.62
2021/3/11 (Thursday) 5:33:6          74.75                 6.92               4               0.66
2021/3/11 (Thursday) 5:33:7          74.86                 6.92               10               0.70
2021/3/11 (Thursday) 5:33:8          74.75                 6.92               2               0.61
2021/3/11 (Thursday) 5:33:9          74.86                 6.92               4               0.68
2021/3/11 (Thursday) 5:33:10          74.86                 6.94               10               0.60
2021/3/11 (Thursday) 5:33:11          74.75                 6.92               4               0.66
2021/3/11 (Thursday) 5:33:12          74.86                 6.94               10               0.62
2021/3/11 (Thursday) 5:33:13          74.75                 6.96               6               0.68
2021/3/11 (Thursday) 5:33:14          74.86                 6.90               8               0.68
2021/3/11 (Thursday) 5:33:15          74.75                 6.94               6               0.62
2021/3/11 (Thursday) 5:33:16          74.75                 6.94               12               0.68
2021/3/11 (Thursday) 5:33:17          74.86                 6.92               8               0.61
2021/3/11 (Thursday) 5:33:18          74.86                 6.90               4               0.66
2021/3/11 (Thursday) 5:33:19          74.86                 6.90               10               0.60
2021/3/11 (Thursday) 5:33:20          74.75                 6.94               4               0.68
2021/3/11 (Thursday) 5:33:21          74.86                 6.92               8               0.63
2021/3/11 (Thursday) 5:33:22          74.86                 6.92               4               0.63
2021/3/11 (Thursday) 5:33:23          74.86                 6.92               12               0.70
2021/3/11 (Thursday) 5:33:24          74.86                 6.96               2               0.62
2021/3/11 (Thursday) 5:33:25          74.86                 6.94               4               0.68
2021/3/11 (Thursday) 5:33:26          74.86                 6.96               6               0.59
2021/3/11 (Thursday) 5:33:27          74.86                 6.90               2               0.68
2021/3/11 (Thursday) 5:33:28          74.97                 6.94               8               0.61
2021/3/11 (Thursday) 5:33:29          74.86                 6.96               6               0.68
2021/3/11 (Thursday) 5:33:30          74.86                 6.94               10               0.68
2021/3/11 (Thursday) 5:33:31          74.86                 6.96               2               0.62
2021/3/11 (Thursday) 5:33:32          74.86                 6.92               6               0.69
2021/3/11 (Thursday) 5:33:33          74.86                 6.94               10               0.63
2021/3/11 (Thursday) 5:33:34          74.86                 6.94               6               0.70
2021/3/11 (Thursday) 5:33:35          74.86                 6.94               10               0.61
2021/3/11 (Thursday) 5:33:36          74.86                 6.96               6               0.68
2021/3/11 (Thursday) 5:33:37          74.97                 6.90               8               0.61
2021/3/11 (Thursday) 5:33:38          74.86                 6.94               6               0.61
2021/3/11 (Thursday) 5:33:39          74.86                 6.92               10               0.67
2021/3/11 (Thursday) 5:33:40          74.86                 6.94               10               0.61
2021/3/11 (Thursday) 5:33:41          74.86                 6.90               6               0.67
2021/3/11 (Thursday) 5:33:42          74.97                 6.92               10               0.62
2021/3/11 (Thursday) 5:33:43          74.86                 6.94               2               0.69
2021/3/11 (Thursday) 5:33:44          74.86                 6.94               8               0.62
2021/3/11 (Thursday) 5:33:45          74.86                 6.94               4               0.64
2021/3/11 (Thursday) 5:33:46          74.86                 6.90               10               0.69
2021/3/11 (Thursday) 5:33:47          74.75                 6.94               6               0.63
2021/3/11 (Thursday) 5:33:48          74.86                 6.92               6               0.69
2021/3/11 (Thursday) 5:33:49          74.86                 6.94               10               0.62
2021/3/11 (Thursday) 5:33:50          74.75                 6.94               6               0.67
2021/3/11 (Thursday) 5:33:51          74.86                 6.94               8               0.61
2021/3/11 (Thursday) 5:33:52          74.86                 6.92               2               0.67
2021/3/11 (Thursday) 5:33:53          74.86                 6.92               8               0.66
2021/3/11 (Thursday) 5:33:54          74.75                 6.96               6               0.60
2021/3/11 (Thursday) 5:33:55          74.86                 6.94               8               0.68
2021/3/11 (Thursday) 5:33:56          74.86                 6.96               8               0.61
2021/3/11 (Thursday) 5:33:57          74.86                 6.94               6               0.69
2021/3/11 (Thursday) 5:33:58          74.86                 6.92               12               0.62
2021/3/11 (Thursday) 5:33:59          74.86                 6.94               6               0.69
2021/3/11 (Thursday) 5:34:0          74.97                 6.92               8               0.64
2021/3/11 (Thursday) 5:34:1          74.86                 6.96               6               0.63
2021/3/11 (Thursday) 5:34:2          74.86                 6.92               8               0.70
2021/3/11 (Thursday) 5:34:3          74.86                 6.94               12               0.62
2021/3/11 (Thursday) 5:34:4          74.86                 6.92               6               0.68
2021/3/11 (Thursday) 5:34:5          74.86                 6.94               10               0.61
2021/3/11 (Thursday) 5:34:6          74.86                 6.92               6               0.67
2021/3/11 (Thursday) 5:34:7          74.86                 6.92               8               0.61
2021/3/11 (Thursday) 5:34:8          74.86                 6.94               4               0.67
2021/3/11 (Thursday) 5:34:9          74.86                 6.92               12               0.69
2021/3/11 (Thursday) 5:34:10          74.86                 6.92               6               0.61
2021/3/11 (Thursday) 5:34:11          74.86                 6.90               10               0.69
2021/3/11 (Thursday) 5:34:12          74.86                 6.94               10               0.63
2021/3/11 (Thursday) 5:34:13          74.86                 6.92               6               0.70
2021/3/11 (Thursday) 5:34:14          74.86                 6.92               10               0.64
2021/3/11 (Thursday) 5:34:15          74.86                 6.94               4               0.69
2021/3/11 (Thursday) 5:34:16          74.86                 6.92               8               0.68
2021/3/11 (Thursday) 5:34:17          74.86                 6.96               4               0.61
2021/3/11 (Thursday) 5:34:18          74.86                 6.92               12               0.68
2021/3/11 (Thursday) 5:34:19          74.86                 6.96               8               0.61
2021/3/11 (Thursday) 5:34:20          74.86                 6.94               4               0.67
2021/3/11 (Thursday) 5:34:21          74.86                 6.96               10               0.60
2021/3/11 (Thursday) 5:34:22          74.86                 6.96               4               0.68
2021/3/11 (Thursday) 5:34:23          74.97                 6.94               10               0.62
2021/3/11 (Thursday) 5:34:24          74.86                 6.92               4               0.61
2021/3/11 (Thursday) 5:34:25          74.97                 6.92               8               0.70
2021/3/11 (Thursday) 5:34:26          74.97                 6.94               4               0.62
2021/3/11 (Thursday) 5:34:27          74.97                 6.90               4               0.70
2021/3/11 (Thursday) 5:34:28          74.97                 6.94               10               0.61
2021/3/11 (Thursday) 5:34:29          74.86                 6.94               4               0.70
2021/3/11 (Thursday) 5:34:30          74.97                 6.92               10               0.61
2021/3/11 (Thursday) 5:34:31          74.97                 6.92               4               0.68
2021/3/11 (Thursday) 5:34:32          74.97                 6.92               10               0.68
2021/3/11 (Thursday) 5:34:33          74.86                 6.92               6               0.62
2021/3/11 (Thursday) 5:34:34          74.86                 6.90               8               0.67
2021/3/11 (Thursday) 5:34:35          74.86                 6.94               10               0.61
2021/3/11 (Thursday) 5:34:36          74.86                 6.92               6               0.68
2021/3/11 (Thursday) 5:34:37          74.86                 6.92               8               0.61
2021/3/11 (Thursday) 5:34:38          74.86                 6.94               4               0.67
2021/3/11 (Thursday) 5:34:39          74.97                 6.92               10               0.61
2021/3/11 (Thursday) 5:34:40          74.86                 6.94               6               0.60
2021/3/11 (Thursday) 5:34:41          74.86                 6.92               8               0.68
2021/3/11 (Thursday) 5:34:42          74.86                 6.94               8               0.62
2021/3/11 (Thursday) 5:34:43          74.97                 6.92               8               0.68
2021/3/11 (Thursday) 5:34:44          74.97                 6.94               10               0.62
2021/3/11 (Thursday) 5:34:45          74.97                 6.94               6               0.69
2021/3/11 (Thursday) 5:34:46          74.86                 6.94               10               0.63
2021/3/11 (Thursday) 5:34:47          74.97                 6.94               6               0.70
2021/3/11 (Thursday) 5:34:48          74.97                 6.92               8               0.70
2021/3/11 (Thursday) 5:34:49          74.86                 6.92               2               0.63
2021/3/11 (Thursday) 5:34:50          74.97                 6.92               6               0.69
2021/3/11 (Thursday) 5:34:51          74.97                 6.96               10               0.63
2021/3/11 (Thursday) 5:34:52          74.97                 6.92               4               0.67
2021/3/11 (Thursday) 5:34:53          74.97                 6.94               10               0.60
2021/3/11 (Thursday) 5:34:54          74.86                 6.96               4               0.68
2021/3/11 (Thursday) 5:34:55          74.86                 6.94               12               0.61
2021/3/11 (Thursday) 5:34:56          74.86                 6.94               4               0.61
2021/3/11 (Thursday) 5:34:57          74.86                 6.94               8               0.68
2021/3/11 (Thursday) 5:34:58          74.97                 6.96               10               0.62
2021/3/11 (Thursday) 5:34:59          74.86                 6.92               4               0.69
2021/3/11 (Thursday) 5:35:0          74.97                 6.94               12               0.63
2021/3/11 (Thursday) 5:35:1          74.86                 6.94               4               0.70
2021/3/11 (Thursday) 5:35:2          74.97                 6.92               10               0.63
2021/3/11 (Thursday) 5:35:3          74.86                 6.94               6               0.63
2021/3/11 (Thursday) 5:35:4          74.97                 6.92               10               0.68
2021/3/11 (Thursday) 5:35:5          74.97                 6.94               4               0.62
2021/3/11 (Thursday) 5:35:6          74.97                 6.90               8               0.68
2021/3/11 (Thursday) 5:35:7          74.97                 6.94               10               0.61
2021/3/11 (Thursday) 5:35:8          74.97                 6.94               4               0.67
2021/3/11 (Thursday) 5:35:9          74.97                 6.90               10               0.60
2021/3/11 (Thursday) 5:35:10          74.97                 6.94               6               0.69
2021/3/11 (Thursday) 5:35:11          74.97                 6.90               10               0.70
2021/3/11 (Thursday) 5:35:12          74.97                 6.94               4               0.63
2021/3/11 (Thursday) 5:35:13          74.86                 6.92               4               0.70
2021/3/11 (Thursday) 5:35:14          74.97                 6.94               12               0.63
2021/3/11 (Thursday) 5:35:15          74.86                 6.92               6               0.68
2021/3/11 (Thursday) 5:35:16          74.97                 6.94               10               0.59
2021/3/11 (Thursday) 5:35:17          74.97                 6.97               4               0.67
2021/3/11 (Thursday) 5:35:18          74.97                 6.94               10               0.61
2021/3/11 (Thursday) 5:35:19          74.97                 6.94               4               0.64
2021/3/11 (Thursday) 5:35:20          74.97                 6.94               8               0.69
2021/3/11 (Thursday) 5:35:21          74.97                 6.92               6               0.63
2021/3/11 (Thursday) 5:35:22          74.97                 6.92               6               0.70
2021/3/11 (Thursday) 5:35:23          74.97                 6.94               10               0.62
2021/3/11 (Thursday) 5:35:24          74.86                 6.94               4               0.68
2021/3/11 (Thursday) 5:35:25          74.97                 6.92               8               0.62
2021/3/11 (Thursday) 5:35:26          74.86                 6.94               4               0.61
2021/3/11 (Thursday) 5:35:27          74.97                 6.94               10               0.68
2021/3/11 (Thursday) 5:35:28          74.97                 6.94               4               0.62
2021/3/11 (Thursday) 5:35:29          74.97                 6.92               6               0.69
2021/3/11 (Thursday) 5:35:30          74.97                 6.96               10               0.63
2021/3/11 (Thursday) 5:35:31          74.97                 6.92               8               0.70
2021/3/11 (Thursday) 5:35:32          74.97                 6.94               8               0.63
2021/3/11 (Thursday) 5:35:33          74.97                 6.94               6               0.68
2021/3/11 (Thursday) 5:35:34          74.97                 6.92               8               0.68
2021/3/11 (Thursday) 5:35:35          74.97                 6.96               4               0.61
2021/3/11 (Thursday) 5:35:36          74.97                 6.92               12               0.68
2021/3/11 (Thursday) 5:35:37          74.97                 6.94               10               0.61
2021/3/11 (Thursday) 5:35:38          74.97                 6.92               4               0.69
2021/3/11 (Thursday) 5:35:39          74.97                 6.94               8               0.61
2021/3/11 (Thursday) 5:35:40          74.97                 6.96               4               0.70
2021/3/11 (Thursday) 5:35:41          74.97                 6.94               8               0.63
2021/3/11 (Thursday) 5:35:42          74.97                 6.96               4               0.62
2021/3/11 (Thursday) 5:35:43          75.09                 6.94               10               0.68
2021/3/11 (Thursday) 5:35:44          74.97                 6.94               6               0.61
2021/3/11 (Thursday) 5:35:45          75.09                 6.92               4               0.68
2021/3/11 (Thursday) 5:35:46          74.97                 6.94               8               0.61
2021/3/11 (Thursday) 5:35:47          74.97                 6.96               4               0.69
2021/3/11 (Thursday) 5:35:48          74.97                 6.92               8               0.63
2021/3/11 (Thursday) 5:35:49          74.97                 6.94               4               0.70
2021/3/11 (Thursday) 5:35:50          74.97                 6.92               12               0.68
2021/3/11 (Thursday) 5:35:51          74.97                 6.94               4               0.63
2021/3/11 (Thursday) 5:35:52          74.97                 6.94               4               0.68
2021/3/11 (Thursday) 5:35:53          74.97                 6.96               12               0.60
2021/3/11 (Thursday) 5:35:54          74.97                 6.92               2               0.68
2021/3/11 (Thursday) 5:35:55          75.09                 6.94               8               0.61
2021/3/11 (Thursday) 5:35:56          75.09                 6.96               4               0.69
2021/3/11 (Thursday) 5:35:57          75.09                 6.96               8               0.63
2021/3/11 (Thursday) 5:35:58          74.97                 6.94               6               0.63
2021/3/11 (Thursday) 5:35:59          75.09                 6.92               10               0.69
2021/3/11 (Thursday) 5:36:0          75.09                 6.96               10               0.64
2021/3/11 (Thursday) 5:36:1          75.09                 6.90               4               0.68
2021/3/11 (Thursday) 5:36:2          75.09                 6.94               8               0.60
2021/3/11 (Thursday) 5:36:3          74.97                 6.96               4               0.68
2021/3/11 (Thursday) 5:36:4          74.97                 6.92               10               0.61
2021/3/11 (Thursday) 5:36:5          75.09                 6.92               6               0.63
2021/3/11 (Thursday) 5:36:6          75.09                 6.92               8               0.70
2021/3/11 (Thursday) 5:36:7          74.97                 6.92               6               0.64
2021/3/11 (Thursday) 5:36:8          74.97                 6.94               4               0.70
2021/3/11 (Thursday) 5:36:9          74.97                 6.96               10               0.61
2021/3/11 (Thursday) 5:36:10          74.97                 6.92               6               0.68
2021/3/11 (Thursday) 5:36:11          74.97                 6.92               10               0.61
2021/3/11 (Thursday) 5:36:12          74.97                 6.96               6               0.67
2021/3/11 (Thursday) 5:36:13          74.97                 6.94               12               0.67
2021/3/11 (Thursday) 5:36:14          74.97                 6.96               2               0.62
2021/3/11 (Thursday) 5:36:15          75.09                 6.90               12               0.69
2021/3/11 (Thursday) 5:36:16          75.09                 6.92               8               0.63
2021/3/11 (Thursday) 5:36:17          74.97                 6.92               4               0.70
2021/3/11 (Thursday) 5:36:18          75.09                 6.94               10               0.63
2021/3/11 (Thursday) 5:36:19          74.97                 6.94               4               0.68
2021/3/11 (Thursday) 5:36:20          74.97                 6.90               12               0.61
2021/3/11 (Thursday) 5:36:21          74.97                 6.92               6               0.61
2021/3/11 (Thursday) 5:36:22          75.09                 6.90               10               0.67
2021/3/11 (Thursday) 5:36:23          75.09                 6.94               8               0.60
2021/3/11 (Thursday) 5:36:24          74.97                 6.90               4               0.67
2021/3/11 (Thursday) 5:36:25          75.09                 6.94               8               0.61
2021/3/11 (Thursday) 5:36:26          75.09                 6.92               6               0.68
2021/3/11 (Thursday) 5:36:27          75.09                 6.90               10               0.63
2021/3/11 (Thursday) 5:36:28          74.97                 6.96               4               0.69
2021/3/11 (Thursday) 5:36:29          75.09                 6.94               10               0.69
2021/3/11 (Thursday) 5:36:30          75.09                 6.94               2               0.63
2021/3/11 (Thursday) 5:36:31          75.09                 6.94               6               0.69
2021/3/11 (Thursday) 5:36:32          75.09                 6.92               10               0.63
2021/3/11 (Thursday) 5:36:33          74.97                 6.96               4               0.68
2021/3/11 (Thursday) 5:36:34          75.09                 6.92               8               0.61
2021/3/11 (Thursday) 5:36:35          74.97                 6.97               4               0.68
2021/3/11 (Thursday) 5:36:36          75.09                 6.92               10               0.68
2021/3/11 (Thursday) 5:36:37          75.09                 6.94               4               0.61
2021/3/11 (Thursday) 5:36:38          75.09                 6.94               10               0.68
2021/3/11 (Thursday) 5:36:39          75.09                 6.96               10               0.63
2021/3/11 (Thursday) 5:36:40          74.97                 6.90               6               0.68
2021/3/11 (Thursday) 5:36:41          75.09                 6.96               10               0.61
2021/3/11 (Thursday) 5:36:42          75.09                 6.94               4               0.69
2021/3/11 (Thursday) 5:36:43          75.09                 6.94               10               0.63
2021/3/11 (Thursday) 5:36:44          75.09                 6.96               6               0.63
2021/3/11 (Thursday) 5:36:45          75.09                 6.90               10               0.69
2021/3/11 (Thursday) 5:36:46          75.09                 6.92               6               0.63
2021/3/11 (Thursday) 5:36:47          75.09                 6.94               4               0.68
2021/3/11 (Thursday) 5:36:48          75.09                 6.94               10               0.61
2021/3/11 (Thursday) 5:36:49          75.09                 6.94               4               0.68
2021/3/11 (Thursday) 5:36:50          75.09                 6.89               10               0.60
2021/3/11 (Thursday) 5:36:51          74.97                 6.94               6               0.68
2021/3/11 (Thursday) 5:36:52          75.09                 6.90               10               0.69
2021/3/11 (Thursday) 5:36:53          75.09                 6.94               4               0.63
2021/3/11 (Thursday) 5:36:54          75.09                 6.92               6               0.70
2021/3/11 (Thursday) 5:36:55          75.09                 6.94               8               0.63
2021/3/11 (Thursday) 5:36:56          75.09                 6.92               4               0.68
2021/3/11 (Thursday) 5:36:57          75.09                 6.94               8               0.61
2021/3/11 (Thursday) 5:36:58          74.97                 6.94               4               0.68
2021/3/11 (Thursday) 5:36:59          74.97                 6.94               10               0.61
2021/3/11 (Thursday) 5:37:0          74.97                 6.96               4               0.63
2021/3/11 (Thursday) 5:37:1          75.09                 6.92               10               0.69
2021/3/11 (Thursday) 5:37:2          75.09                 6.94               10               0.62
2021/3/11 (Thursday) 5:37:3          74.97                 6.92               6               0.70
2021/3/11 (Thursday) 5:37:4          74.97                 6.94               10               0.63
2021/3/11 (Thursday) 5:37:5          74.97                 6.94               4               0.67
2021/3/11 (Thursday) 5:37:6          75.09                 6.90               10               0.61
2021/3/11 (Thursday) 5:37:7          75.09                 6.92               4               0.61
2021/3/11 (Thursday) 5:37:8          75.09                 6.90               10               0.68
2021/3/11 (Thursday) 5:37:9          75.09                 6.94               6               0.63
