=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.03.11 18:20:26 =~=~=~=~=~=~=~=~=~=~=~=

Initializing SD card...Card failed, or not present

Date & Time                  Temp (In Fahrenheit)          pH          TDS (In PPM)      Turbidity (In NTU)
2021/3/11 (Thursday) 6:20:2          74.86                 6.94               4               0.72
2021/3/11 (Thursday) 6:20:3          74.86                 6.92               10               0.72
2021/3/11 (Thursday) 6:20:4          74.75                 6.96               4               0.66
2021/3/11 (Thursday) 6:20:5          74.86                 6.94               10               0.72
2021/3/11 (Thursday) 6:20:6          74.75                 6.94               10               0.67
2021/3/11 (Thursday) 6:20:7          74.75                 6.92               4               0.73
2021/3/11 (Thursday) 6:20:8          74.75                 6.96               10               0.66
2021/3/11 (Thursday) 6:20:9          74.75                 6.96               4               0.73
2021/3/11 (Thursday) 6:20:10          74.75                 6.94               10               0.68
2021/3/11 (Thursday) 6:20:11          74.75                 6.96               6               0.68
2021/3/11 (Thursday) 6:20:12          74.86                 6.94               12               0.74
2021/3/11 (Thursday) 6:20:13          74.75                 6.94               4               0.68
2021/3/11 (Thursday) 6:20:14          74.86                 6.92               4               0.72
2021/3/11 (Thursday) 6:20:15          74.86                 6.94               10               0.66
2021/3/11 (Thursday) 6:20:16          74.86                 6.92               4               0.72
2021/3/11 (Thursday) 6:20:17          74.86                 6.92               10               0.66
2021/3/11 (Thursday) 6:20:18          74.86                 6.94               4               0.72
2021/3/11 (Thursday) 6:20:19          74.86                 6.92               10               0.74
2021/3/11 (Thursday) 6:20:20          74.86                 6.94               6               0.68
2021/3/11 (Thursday) 6:20:21          74.86                 6.94               8               0.73
2021/3/11 (Thursday) 6:20:22          74.86                 6.94               10               0.68
2021/3/11 (Thursday) 6:20:23          74.86                 6.94               4               0.74
2021/3/11 (Thursday) 6:20:24          74.97                 6.92               10               0.68
2021/3/11 (Thursday) 6:20:25          74.86                 6.94               4               0.74
2021/3/11 (Thursday) 6:20:26          74.86                 6.94               10               0.66
2021/3/11 (Thursday) 6:20:27          74.86                 6.96               6               0.66
2021/3/11 (Thursday) 6:20:28          74.86                 6.94               10               0.72
2021/3/11 (Thursday) 6:20:29          74.75                 6.94               10               0.66
2021/3/11 (Thursday) 6:20:30          74.86                 6.92               6               0.72
2021/3/11 (Thursday) 6:20:31          74.86                 6.94               10               0.66
2021/3/11 (Thursday) 6:20:32          74.86                 6.94               6               0.73
2021/3/11 (Thursday) 6:20:33          74.86                 6.94               10               0.67
2021/3/11 (Thursday) 6:20:34          74.86                 6.96               4               0.68
2021/3/11 (Thursday) 6:20:35          74.86                 6.94               10               0.74
2021/3/11 (Thursday) 6:20:36          74.86                 6.96               4               0.68
2021/3/11 (Thursday) 6:20:37          74.86                 6.94               4               0.73
2021/3/11 (Thursday) 6:20:38          74.86                 6.94               10               0.66
2021/3/11 (Thursday) 6:20:39          74.86                 6.92               4               0.72
2021/3/11 (Thursday) 6:20:40          74.86                 6.94               10               0.65
2021/3/11 (Thursday) 6:20:41          74.86                 6.94               4               0.71
2021/3/11 (Thursday) 6:20:42          74.86                 6.92               8               0.72
2021/3/11 (Thursday) 6:20:43          74.86                 6.94               4               0.65
2021/3/11 (Thursday) 6:20:44          74.86                 6.90               10               0.71
2021/3/11 (Thursday) 6:20:45          74.86                 6.94               12               0.66
2021/3/11 (Thursday) 6:20:46          74.86                 6.94               6               0.71
2021/3/11 (Thursday) 6:20:47          74.97                 6.94               10               0.66
2021/3/11 (Thursday) 6:20:48          74.86                 6.92               4               0.72
2021/3/11 (Thursday) 6:20:49          74.97                 6.94               10               0.66
