=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.03.11 18:20:26 =~=~=~=~=~=~=~=~=~=~=~=

Initializing SD card...Card failed, or not present

Date & Time                  Temp (In Fahrenheit)          pH          TDS (In PPM)      Turbidity (In NTU)
2021/3/11 (Thursday) 6:20:50          74.86                 6.94               4               0.66
2021/3/11 (Thursday) 6:20:51          74.86                 6.94               8               0.70
2021/3/11 (Thursday) 6:20:52          74.86                 6.94               6               0.65
2021/3/11 (Thursday) 6:20:53          74.86                 6.94               6               0.70
2021/3/11 (Thursday) 6:20:54          74.97                 6.96               8               0.65
2021/3/11 (Thursday) 6:20:55          74.86                 6.96               4               0.69
2021/3/11 (Thursday) 6:20:56          74.86                 6.94               8               0.65
2021/3/11 (Thursday) 6:20:57          74.86                 6.96               6               0.71
2021/3/11 (Thursday) 6:20:58          74.86                 6.94               10               0.72
2021/3/11 (Thursday) 6:20:59          74.86                 6.94               4               0.67
2021/3/11 (Thursday) 6:21:0          74.86                 6.92               8               0.72
2021/3/11 (Thursday) 6:21:1          74.86                 6.96               10               0.67
2021/3/11 (Thursday) 6:21:2          74.86                 6.94               4               0.72
2021/3/11 (Thursday) 6:21:3          74.86                 6.94               10               0.66
2021/3/11 (Thursday) 6:21:4          74.86                 6.94               4               0.70
2021/3/11 (Thursday) 6:21:5          74.86                 6.92               12               0.65
2021/3/11 (Thursday) 6:21:6          74.86                 6.94               6               0.65
2021/3/11 (Thursday) 6:21:7          74.97                 6.94               12               0.72
2021/3/11 (Thursday) 6:21:8          74.86                 6.94               8               0.66
2021/3/11 (Thursday) 6:21:9          74.86                 6.92               4               0.73
2021/3/11 (Thursday) 6:21:10          74.86                 6.94               12               0.67
2021/3/11 (Thursday) 6:21:11          74.86                 6.94               6               0.73
2021/3/11 (Thursday) 6:21:12          74.97                 6.92               10               0.66
2021/3/11 (Thursday) 6:21:13          74.97                 6.94               6               0.66
2021/3/11 (Thursday) 6:21:14          74.97                 6.94               10               0.72
2021/3/11 (Thursday) 6:21:15          74.86                 6.96               4               0.65
2021/3/11 (Thursday) 6:21:16          74.86                 6.92               4               0.72
2021/3/11 (Thursday) 6:21:17          74.97                 6.94               12               0.67
2021/3/11 (Thursday) 6:21:18          74.86                 6.94               4               0.73
2021/3/11 (Thursday) 6:21:19          74.97                 6.94               10               0.68
2021/3/11 (Thursday) 6:21:20          74.86                 6.94               4               0.74
2021/3/11 (Thursday) 6:21:21          74.86                 6.96               6               0.72
2021/3/11 (Thursday) 6:21:22          74.86                 6.94               6               0.67
2021/3/11 (Thursday) 6:21:23          74.86                 6.90               10               0.72
2021/3/11 (Thursday) 6:21:24          74.86                 6.94               10               0.66
2021/3/11 (Thursday) 6:21:25          74.86                 6.94               6               0.72
2021/3/11 (Thursday) 6:21:26          74.97                 6.94               10               0.66
2021/3/11 (Thursday) 6:21:27          74.97                 6.94               4               0.72
2021/3/11 (Thursday) 6:21:28          74.97                 6.96               10               0.66
2021/3/11 (Thursday) 6:21:29          74.86                 6.94               4               0.67
2021/3/11 (Thursday) 6:21:30          74.97                 6.94               10               0.74
2021/3/11 (Thursday) 6:21:31          74.97                 6.96               10               0.68
2021/3/11 (Thursday) 6:21:32          74.86                 6.96               4               0.72
2021/3/11 (Thursday) 6:21:33          74.86                 6.94               12               0.68
2021/3/11 (Thursday) 6:21:34          74.86                 6.96               2               0.72
2021/3/11 (Thursday) 6:21:36          74.97                 6.94               8               0.66
2021/3/11 (Thursday) 6:21:37          74.97                 6.97               4               0.72
2021/3/11 (Thursday) 6:21:38          74.97                 6.92               8               0.73
2021/3/11 (Thursday) 6:21:39          74.86                 6.97               2               0.66
2021/3/11 (Thursday) 6:21:40          74.86                 6.92               6               0.74
2021/3/11 (Thursday) 6:21:41          74.97                 6.96               10               0.68
2021/3/11 (Thursday) 6:21:42          74.86                 6.92               6               0.75
2021/3/11 (Thursday) 6:21:43          74.97                 6.94               8               0.68
2021/3/11 (Thursday) 6:21:44          74.86                 6.94               4               0.74
2021/3/11 (Thursday) 6:21:45          74.97                 6.94               12               0.72
2021/3/11 (Thursday) 6:21:46          74.86                 6.96               4               0.68
2021/3/11 (Thursday) 6:21:47          74.97                 6.92               8               0.73
2021/3/11 (Thursday) 6:21:48          74.86                 6.94               10               0.67
2021/3/11 (Thursday) 6:21:49          74.97                 6.94               6               0.72
2021/3/11 (Thursday) 6:21:50          74.97                 6.94               12               0.67
2021/3/11 (Thursday) 6:21:51          74.97                 6.96               4               0.72
2021/3/11 (Thursday) 6:21:52          74.97                 6.94               12               0.66
2021/3/11 (Thursday) 6:21:53          74.97                 6.94               4               0.67
2021/3/11 (Thursday) 6:21:54          74.97                 6.92               8               0.74
2021/3/11 (Thursday) 6:21:55          74.86                 6.94               2               0.67
2021/3/11 (Thursday) 6:21:56          74.86                 6.94               6               0.74
2021/3/11 (Thursday) 6:21:57          74.97                 6.94               10               0.69
2021/3/11 (Thursday) 6:21:58          74.97                 6.94               4               0.74
2021/3/11 (Thursday) 6:21:59          74.97                 6.94               10               0.67
2021/3/11 (Thursday) 6:22:0          74.97                 6.94               6               0.73
2021/3/11 (Thursday) 6:22:1          75.09                 6.94               10               0.72
2021/3/11 (Thursday) 6:22:2          74.86                 6.94               4               0.66
2021/3/11 (Thursday) 6:22:3          74.97                 6.96               10               0.74
2021/3/11 (Thursday) 6:22:4          74.97                 6.97               8               0.68
2021/3/11 (Thursday) 6:22:5          74.97                 6.94               4               0.74
2021/3/11 (Thursday) 6:22:6          75.09                 6.92               10               0.68
2021/3/11 (Thursday) 6:22:7          74.97                 6.94               6               0.74
2021/3/11 (Thursday) 6:22:8          74.97                 6.96               10               0.68
2021/3/11 (Thursday) 6:22:9          74.97                 6.94               6               0.68
2021/3/11 (Thursday) 6:22:10          74.97                 6.94               12               0.74
2021/3/11 (Thursday) 6:22:11          74.97                 6.94               12               0.66
2021/3/11 (Thursday) 6:22:12          74.97                 6.94               6               0.73
2021/3/11 (Thursday) 6:22:13          74.97                 6.94               10               0.68
2021/3/11 (Thursday) 6:22:14          74.97                 6.96               4               0.72
2021/3/11 (Thursday) 6:22:15          74.97                 6.92               12               0.66
2021/3/11 (Thursday) 6:22:16          74.97                 6.96               4               0.70
2021/3/11 (Thursday) 6:22:17          75.09                 6.94               12               0.72
2021/3/11 (Thursday) 6:22:18          74.97                 6.96               6               0.66
2021/3/11 (Thursday) 6:22:19          75.09                 6.94               6               0.73
2021/3/11 (Thursday) 6:22:20          75.09                 6.96               10               0.67
2021/3/11 (Thursday) 6:22:21          75.09                 6.94               4               0.74
2021/3/11 (Thursday) 6:22:22          75.09                 6.94               12               0.68
2021/3/11 (Thursday) 6:22:23          75.20                 6.96               4               0.74
2021/3/11 (Thursday) 6:22:24          75.09                 6.92               10               0.74
2021/3/11 (Thursday) 6:22:25          75.09                 6.94               6               0.68
2021/3/11 (Thursday) 6:22:26          75.09                 6.94               10               0.74
2021/3/11 (Thursday) 6:22:27          75.09                 6.94               10               0.68
2021/3/11 (Thursday) 6:22:28          75.09                 6.94               4               0.72
2021/3/11 (Thursday) 6:22:29          75.20                 6.92               10               0.67
2021/3/11 (Thursday) 6:22:30          75.09                 6.96               8               0.70
2021/3/11 (Thursday) 6:22:31          75.09                 6.97               8               0.66
2021/3/11 (Thursday) 6:22:32          75.09                 6.96               6               0.69
2021/3/11 (Thursday) 6:22:33          75.09                 6.96               8               0.72
2021/3/11 (Thursday) 6:22:34          75.09                 6.97               4               0.66
2021/3/11 (Thursday) 6:22:35          75.09                 6.96               6               0.73
2021/3/11 (Thursday) 6:22:36          75.20                 6.96               8               0.66
2021/3/11 (Thursday) 6:22:37          75.09                 6.92               4               0.74
2021/3/11 (Thursday) 6:22:38          75.20                 6.94               8               0.67
2021/3/11 (Thursday) 6:22:39          75.09                 6.96               6               0.74
2021/3/11 (Thursday) 6:22:40          75.09                 6.96               10               0.72
2021/3/11 (Thursday) 6:22:41          75.09                 6.94               4               0.66
2021/3/11 (Thursday) 6:22:42          75.09                 6.92               4               0.73
2021/3/11 (Thursday) 6:22:43          75.09                 6.94               12               0.66
2021/3/11 (Thursday) 6:22:44          75.09                 6.92               4               0.72
2021/3/11 (Thursday) 6:22:45          75.09                 6.94               10               0.66
2021/3/11 (Thursday) 6:22:46          75.09                 6.96               6               0.72
2021/3/11 (Thursday) 6:22:47          75.09                 6.92               10               0.66
2021/3/11 (Thursday) 6:22:48          75.09                 6.96               6               0.66
2021/3/11 (Thursday) 6:22:49          75.09                 6.92               8               0.72
2021/3/11 (Thursday) 6:22:50          75.09                 6.96               8               0.68
2021/3/11 (Thursday) 6:22:51          75.09                 6.94               4               0.73
2021/3/11 (Thursday) 6:22:52          75.09                 6.96               10               0.67
2021/3/11 (Thursday) 6:22:53          75.09                 6.96               4               0.72
2021/3/11 (Thursday) 6:22:54          75.09                 6.94               8               0.66
2021/3/11 (Thursday) 6:22:55          75.09                 6.96               6               0.65
2021/3/11 (Thursday) 6:22:56          75.09                 6.92               8               0.71
2021/3/11 (Thursday) 6:22:57          75.09                 6.94               4               0.64
2021/3/11 (Thursday) 6:22:58          75.09                 6.96               6               0.71
2021/3/11 (Thursday) 6:22:59          75.09                 6.94               10               0.66
2021/3/11 (Thursday) 6:23:0          75.09                 6.90               4               0.72
2021/3/11 (Thursday) 6:23:1          75.09                 6.94               8               0.67
2021/3/11 (Thursday) 6:23:2          75.09                 6.94               6               0.73
2021/3/11 (Thursday) 6:23:3          75.20                 6.94               8               0.72
2021/3/11 (Thursday) 6:23:4          75.09                 6.96               8               0.65
2021/3/11 (Thursday) 6:23:5          75.20                 6.94               8               0.72
2021/3/11 (Thursday) 6:23:6          75.20                 6.96               8               0.66
2021/3/11 (Thursday) 6:23:7          75.09                 6.92               4               0.70
2021/3/11 (Thursday) 6:23:8          75.20                 6.94               10               0.65
2021/3/11 (Thursday) 6:23:9          75.09                 6.92               2               0.70
2021/3/11 (Thursday) 6:23:10          75.20                 6.94               8               0.65
2021/3/11 (Thursday) 6:23:11          75.09                 6.94               6               0.66
2021/3/11 (Thursday) 6:23:12          75.20                 6.92               10               0.72
2021/3/11 (Thursday) 6:23:13          75.20                 6.94               10               0.66
2021/3/11 (Thursday) 6:23:14          75.09                 6.94               4               0.72
2021/3/11 (Thursday) 6:23:15          75.20                 6.96               8               0.65
2021/3/11 (Thursday) 6:23:16          75.09                 6.97               6               0.69
2021/3/11 (Thursday) 6:23:17          75.09                 6.94               10               0.65
2021/3/11 (Thursday) 6:23:18          75.09                 6.94               4               0.71
2021/3/11 (Thursday) 6:23:19          75.09                 6.94               10               0.72
2021/3/11 (Thursday) 6:23:20          75.09                 6.97               4               0.67
2021/3/11 (Thursday) 6:23:21          75.20                 6.96               10               0.73
2021/3/11 (Thursday) 6:23:22          75.20                 6.94               8               0.67
2021/3/11 (Thursday) 6:23:23          75.09                 6.92               4               0.74
2021/3/11 (Thursday) 6:23:24          75.20                 6.94               10               0.68
2021/3/11 (Thursday) 6:23:25          75.09                 6.96               4               0.73
2021/3/11 (Thursday) 6:23:26          75.20                 6.92               10               0.72
2021/3/11 (Thursday) 6:23:27          75.09                 6.96               4               0.67
2021/3/11 (Thursday) 6:23:28          75.20                 6.94               8               0.72
2021/3/11 (Thursday) 6:23:29          75.20                 6.94               12               0.66
2021/3/11 (Thursday) 6:23:30          75.09                 6.92               4               0.71
2021/3/11 (Thursday) 6:23:31          75.20                 6.96               12               0.65
2021/3/11 (Thursday) 6:23:32          75.09                 6.94               6               0.72
2021/3/11 (Thursday) 6:23:33          75.20                 6.92               10               0.65
2021/3/11 (Thursday) 6:23:34          75.09                 6.94               6               0.66
2021/3/11 (Thursday) 6:23:35          75.20                 6.94               10               0.72
2021/3/11 (Thursday) 6:23:36          75.09                 6.96               4               0.66
2021/3/11 (Thursday) 6:23:37          75.09                 6.92               6               0.72
2021/3/11 (Thursday) 6:23:38          75.20                 6.92               10               0.67
2021/3/11 (Thursday) 6:23:39          75.09                 6.96               4               0.72
2021/3/11 (Thursday) 6:23:40          75.20                 6.94               12               0.65
2021/3/11 (Thursday) 6:23:41          75.20                 6.96               4               0.71
2021/3/11 (Thursday) 6:23:42          75.20                 6.94               8               0.72
2021/3/11 (Thursday) 6:23:43          75.09                 6.96               6               0.65
2021/3/11 (Thursday) 6:23:44          75.20                 6.96               8               0.72
2021/3/11 (Thursday) 6:23:45          75.20                 6.96               8               0.65
2021/3/11 (Thursday) 6:23:46          75.31                 6.94               4               0.71
2021/3/11 (Thursday) 6:23:47          75.20                 6.94               8               0.65
2021/3/11 (Thursday) 6:23:48          75.20                 6.96               6               0.72
2021/3/11 (Thursday) 6:23:49          75.20                 6.92               12               0.67
2021/3/11 (Thursday) 6:23:50          75.20                 6.97               4               0.68
2021/3/11 (Thursday) 6:23:51          75.20                 6.92               12               0.74
2021/3/11 (Thursday) 6:23:52          75.20                 6.94               8               0.68
2021/3/11 (Thursday) 6:23:53          75.20                 6.94               6               0.73
2021/3/11 (Thursday) 6:23:54          75.20                 6.94               8               0.67
2021/3/11 (Thursday) 6:23:55          75.20                 6.94               4               0.72
2021/3/11 (Thursday) 6:23:56          75.20                 6.92               10               0.66
2021/3/11 (Thursday) 6:23:57          75.09                 6.94               4               0.72
2021/3/11 (Thursday) 6:23:58          75.20                 6.92               12               0.72
2021/3/11 (Thursday) 6:23:59          75.09                 6.96               4               0.66
2021/3/11 (Thursday) 6:24:0          75.20                 6.94               6               0.72
2021/3/11 (Thursday) 6:24:1          75.09                 6.94               12               0.66
2021/3/11 (Thursday) 6:24:2          75.20                 6.92               4               0.72
2021/3/11 (Thursday) 6:24:3          75.20                 6.92               12               0.70
2021/3/11 (Thursday) 6:24:4          75.09                 6.96               4               0.74
2021/3/11 (Thursday) 6:24:5          75.20                 6.96               8               0.67
2021/3/11 (Thursday) 6:24:6          75.20                 6.94               2               0.68
2021/3/11 (Thursday) 6:24:7          75.20                 6.92               12               0.73
2021/3/11 (Thursday) 6:24:8          75.20                 6.97               10               0.65
2021/3/11 (Thursday) 6:24:9          75.20                 6.94               6               0.71
2021/3/11 (Thursday) 6:24:10          75.20                 6.94               8               0.65
2021/3/11 (Thursday) 6:24:11          75.09                 6.96               4               0.72
2021/3/11 (Thursday) 6:24:12          75.20                 6.96               8               0.67
2021/3/11 (Thursday) 6:24:13          75.09                 6.97               4               0.68
2021/3/11 (Thursday) 6:24:14          75.20                 6.96               10               0.74
2021/3/11 (Thursday) 6:24:15          75.20                 6.94               4               0.67
2021/3/11 (Thursday) 6:24:16          75.31                 6.94               4               0.74
2021/3/11 (Thursday) 6:24:17          75.20                 6.94               10               0.67
2021/3/11 (Thursday) 6:24:18          75.20                 6.94               4               0.74
2021/3/11 (Thursday) 6:24:19          75.20                 6.94               12               0.66
2021/3/11 (Thursday) 6:24:20          75.20                 6.94               6               0.72
2021/3/11 (Thursday) 6:24:21          75.20                 6.92               8               0.73
2021/3/11 (Thursday) 6:24:22          75.20                 6.94               4               0.67
2021/3/11 (Thursday) 6:24:23          75.20                 6.92               4               0.73
2021/3/11 (Thursday) 6:24:24          75.20                 6.94               8               0.68
2021/3/11 (Thursday) 6:24:25          75.20                 6.96               6               0.75
2021/3/11 (Thursday) 6:24:26          75.20                 6.92               8               0.68
2021/3/11 (Thursday) 6:24:27          75.20                 6.96               6               0.73
2021/3/11 (Thursday) 6:24:28          75.31                 6.92               10               0.66
2021/3/11 (Thursday) 6:24:29          75.20                 6.96               4               0.67
2021/3/11 (Thursday) 6:24:30          75.31                 6.94               8               0.72
2021/3/11 (Thursday) 6:24:31          75.20                 6.97               10               0.67
2021/3/11 (Thursday) 6:24:32          75.20                 6.96               6               0.72
2021/3/11 (Thursday) 6:24:33          75.20                 6.97               8               0.69
2021/3/11 (Thursday) 6:24:34          75.20                 6.97               8               0.74
2021/3/11 (Thursday) 6:24:35          75.20                 6.92               10               0.68
2021/3/11 (Thursday) 6:24:36          75.20                 6.94               4               0.67
2021/3/11 (Thursday) 6:24:37          75.31                 6.92               4               0.72
2021/3/11 (Thursday) 6:24:38          75.20                 6.92               4               0.66
2021/3/11 (Thursday) 6:24:39          75.20                 6.92               6               0.72
2021/3/11 (Thursday) 6:24:40          75.20                 6.94               12               0.67
2021/3/11 (Thursday) 6:24:41          75.20                 6.94               4               0.73
2021/3/11 (Thursday) 6:24:42          75.20                 6.92               10               0.67
2021/3/11 (Thursday) 6:24:43          75.31                 6.96               6               0.74
2021/3/11 (Thursday) 6:24:44          75.20                 6.94               10               0.72
2021/3/11 (Thursday) 6:24:45          75.20                 6.94               2               0.66
2021/3/11 (Thursday) 6:24:46          75.20                 6.96               8               0.71
2021/3/11 (Thursday) 6:24:47          75.31                 6.96               8               0.66
2021/3/11 (Thursday) 6:24:48          75.20                 6.92               4               0.72
2021/3/11 (Thursday) 6:24:49          75.31                 6.94               12               0.66
2021/3/11 (Thursday) 6:24:50          75.20                 6.96               6               0.74
2021/3/11 (Thursday) 6:24:51          75.20                 6.94               8               0.66
2021/3/11 (Thursday) 6:24:52          75.20                 6.96               4               0.65
2021/3/11 (Thursday) 6:24:53          75.20                 6.96               10               0.70
2021/3/11 (Thursday) 6:24:54          75.20                 6.94               8               0.66
2021/3/11 (Thursday) 6:24:55          75.31                 6.94               6               0.70
2021/3/11 (Thursday) 6:24:56          75.31                 6.94               8               0.66
2021/3/11 (Thursday) 6:24:57          75.20                 6.96               4               0.72
2021/3/11 (Thursday) 6:24:58          75.31                 6.94               8               0.67
2021/3/11 (Thursday) 6:24:59          75.20                 6.97               4               0.72
2021/3/11 (Thursday) 6:25:0          75.31                 6.94               8               0.72
2021/3/11 (Thursday) 6:25:1          75.31                 6.96               4               0.65
2021/3/11 (Thursday) 6:25:2          75.31                 6.94               2               0.71
2021/3/11 (Thursday) 6:25:3          75.20                 6.96               8               0.66
2021/3/11 (Thursday) 6:25:4          75.20                 6.92               6               0.71
2021/3/11 (Thursday) 6:25:5          75.31                 6.94               8               0.66
2021/3/11 (Thursday) 6:25:6          75.20                 6.94               8               0.72
2021/3/11 (Thursday) 6:25:7          75.31                 6.92               8               0.65
2021/3/11 (Thursday) 6:25:8          75.20                 6.94               4               0.64
2021/3/11 (Thursday) 6:25:9          75.31                 6.92               10               0.71
2021/3/11 (Thursday) 6:25:10          75.20                 6.94               8               0.65
2021/3/11 (Thursday) 6:25:11          75.20                 6.96               4               0.71
2021/3/11 (Thursday) 6:25:12          75.31                 6.96               12               0.66
2021/3/11 (Thursday) 6:25:13          75.31                 6.96               6               0.73
2021/3/11 (Thursday) 6:25:14          75.31                 6.96               10               0.66
2021/3/11 (Thursday) 6:25:15          75.31                 6.94               6               0.65
2021/3/11 (Thursday) 6:25:16          75.31                 6.94               12               0.70
2021/3/11 (Thursday) 6:25:17          75.31                 6.96               4               0.65
2021/3/11 (Thursday) 6:25:18          75.31                 6.94               4               0.70
2021/3/11 (Thursday) 6:25:19          75.31                 6.97               8               0.65
2021/3/11 (Thursday) 6:25:20          75.20                 6.94               4               0.70
2021/3/11 (Thursday) 6:25:21          75.31                 6.92               10               0.66
2021/3/11 (Thursday) 6:25:22          75.31                 6.97               6               0.72
2021/3/11 (Thursday) 6:25:23          75.31                 6.92               10               0.72
2021/3/11 (Thursday) 6:25:24          75.31                 6.94               2               0.66
2021/3/11 (Thursday) 6:25:25          75.31                 6.94               10               0.72
2021/3/11 (Thursday) 6:25:26          75.31                 6.94               8               0.65
2021/3/11 (Thursday) 6:25:27          75.20                 6.92               2               0.71
2021/3/11 (Thursday) 6:25:28          75.31                 6.94               8               0.65
2021/3/11 (Thursday) 6:25:29          75.31                 6.96               8               0.70
2021/3/11 (Thursday) 6:25:30          75.31                 6.92               10               0.66
2021/3/11 (Thursday) 6:25:31          75.31                 6.94               4               0.66
2021/3/11 (Thursday) 6:25:32          75.31                 6.94               12               0.72
2021/3/11 (Thursday) 6:25:33          75.20                 6.96               8               0.67
2021/3/11 (Thursday) 6:25:34          75.20                 6.94               6               0.74
2021/3/11 (Thursday) 6:25:35          75.31                 6.94               10               0.66
2021/3/11 (Thursday) 6:25:36          75.20                 6.94               4               0.70
2021/3/11 (Thursday) 6:25:37          75.20                 6.94               10               0.65
2021/3/11 (Thursday) 6:25:38          75.20                 6.96               4               0.70
2021/3/11 (Thursday) 6:25:39          75.31                 6.94               8               0.70
2021/3/11 (Thursday) 6:25:40          75.20                 6.97               4               0.65
2021/3/11 (Thursday) 6:25:41          75.31                 6.94               8               0.71
2021/3/11 (Thursday) 6:25:42          75.31                 6.94               10               0.66
2021/3/11 (Thursday) 6:25:43          75.31                 6.96               4               0.72
2021/3/11 (Thursday) 6:25:44          75.43                 6.94               10               0.68
2021/3/11 (Thursday) 6:25:45          75.31                 6.96               4               0.74
2021/3/11 (Thursday) 6:25:46          75.31                 6.94               10               0.72
2021/3/11 (Thursday) 6:25:47          75.31                 6.94               8               0.65
2021/3/11 (Thursday) 6:25:48          75.31                 6.94               10               0.72
2021/3/11 (Thursday) 6:25:49          75.31                 6.96               12               0.65
2021/3/11 (Thursday) 6:25:50          75.31                 6.94               6               0.70
2021/3/11 (Thursday) 6:25:51          75.31                 6.96               6               0.66
2021/3/11 (Thursday) 6:25:52          75.31                 6.96               4               0.72
2021/3/11 (Thursday) 6:25:53          75.31                 6.94               12               0.66
2021/3/11 (Thursday) 6:25:54          75.31                 6.94               4               0.66
2021/3/11 (Thursday) 6:25:55          75.31                 6.94               10               0.73
2021/3/11 (Thursday) 6:25:56          75.31                 6.96               4               0.66
2021/3/11 (Thursday) 6:25:57          75.31                 6.96               6               0.72
2021/3/11 (Thursday) 6:25:58          75.31                 6.96               8               0.65
2021/3/11 (Thursday) 6:25:59          75.31                 6.94               6               0.72
2021/3/11 (Thursday) 6:26:0          75.31                 6.96               8               0.66
2021/3/11 (Thursday) 6:26:1          75.31                 6.94               2               0.71
2021/3/11 (Thursday) 6:26:2          75.31                 6.94               8               0.71
2021/3/11 (Thursday) 6:26:3          75.31                 6.94               6               0.66
2021/3/11 (Thursday) 6:26:4          75.31                 6.94               6               0.72
2021/3/11 (Thursday) 6:26:5          75.31                 6.96               12               0.66
2021/3/11 (Thursday) 6:26:6          75.31                 6.94               4               0.73
2021/3/11 (Thursday) 6:26:7          75.31                 6.94               8               0.66
2021/3/11 (Thursday) 6:26:8          75.20                 6.94               8               0.72
2021/3/11 (Thursday) 6:26:9          75.31                 6.96               8               0.65
2021/3/11 (Thursday) 6:26:10          75.31                 6.92               4               0.65
2021/3/11 (Thursday) 6:26:11          75.31                 6.94               10               0.70
2021/3/11 (Thursday) 6:26:12          75.31                 6.94               8               0.65
2021/3/11 (Thursday) 6:26:13          75.31                 6.94               4               0.72
2021/3/11 (Thursday) 6:26:14          75.31                 6.94               8               0.66
2021/3/11 (Thursday) 6:26:15          75.31                 6.96               4               0.72
2021/3/11 (Thursday) 6:26:16          75.31                 6.96               10               0.66
2021/3/11 (Thursday) 6:26:17          75.31                 6.94               6               0.67
2021/3/11 (Thursday) 6:26:18          75.31                 6.92               10               0.71
2021/3/11 (Thursday) 6:26:19          75.20                 6.94               6               0.65
2021/3/11 (Thursday) 6:26:20          75.31                 6.94               2               0.71
2021/3/11 (Thursday) 6:26:21          75.31                 6.96               12               0.66
2021/3/11 (Thursday) 6:26:22          75.31                 6.92               4               0.70
2021/3/11 (Thursday) 6:26:23          75.31                 6.96               8               0.66
2021/3/11 (Thursday) 6:26:24          75.31                 6.97               4               0.72
2021/3/11 (Thursday) 6:26:25          75.31                 6.94               8               0.65
2021/3/11 (Thursday) 6:26:26          75.31                 6.92               4               0.67
2021/3/11 (Thursday) 6:26:27          75.31                 6.92               10               0.72
2021/3/11 (Thursday) 6:26:28          75.31                 6.94               10               0.66
2021/3/11 (Thursday) 6:26:29          75.20                 6.92               2               0.72
2021/3/11 (Thursday) 6:26:30          75.31                 6.94               10               0.64
2021/3/11 (Thursday) 6:26:31          75.31                 6.96               2               0.71
2021/3/11 (Thursday) 6:26:32          75.31                 6.94               10               0.65
2021/3/11 (Thursday) 6:26:33          75.31                 6.94               2               0.65
2021/3/11 (Thursday) 6:26:34          75.31                 6.94               12               0.72
