=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.03.11 17:04:26 =~=~=~=~=~=~=~=~=~=~=~=

Initializing SD card...Card failed, or not present

Date & Time                  Temp (In Fahrenheit)          pH          TDS (In PPM)      Turbidity (In NTU)
2021/3/11 (Thursday) 5:4:1          74.86                 6.96               10               0.62
2021/3/11 (Thursday) 5:4:3          74.75                 6.97               6               0.66
2021/3/11 (Thursday) 5:4:4          74.75                 6.96               8               0.61
2021/3/11 (Thursday) 5:4:5          74.75                 6.96               4               0.65
2021/3/11 (Thursday) 5:4:6          74.86                 6.97               10               0.60
2021/3/11 (Thursday) 5:4:7          74.75                 6.97               4               0.61
2021/3/11 (Thursday) 5:4:8          74.86                 6.96               10               0.65
2021/3/11 (Thursday) 5:4:9          74.75                 6.96               10               0.61
2021/3/11 (Thursday) 5:4:10          74.86                 6.96               6               0.66
2021/3/11 (Thursday) 5:4:11          74.86                 6.96               10               0.63
2021/3/11 (Thursday) 5:4:12          74.75                 6.97               6               0.66
2021/3/11 (Thursday) 5:4:13          74.75                 6.96               10               0.61
2021/3/11 (Thursday) 5:4:14          74.86                 6.97               6               0.65
2021/3/11 (Thursday) 5:4:15          74.86                 6.96               10               0.65
2021/3/11 (Thursday) 5:4:16          74.86                 6.97               4               0.61
2021/3/11 (Thursday) 5:4:17          74.86                 6.96               6               0.65
2021/3/11 (Thursday) 5:4:18          74.86                 6.97               10               0.62
2021/3/11 (Thursday) 5:4:19          74.86                 6.96               6               0.66
2021/3/11 (Thursday) 5:4:20          74.86                 6.97               10               0.64
2021/3/11 (Thursday) 5:4:21          74.75                 6.97               6               0.66
2021/3/11 (Thursday) 5:4:22          74.86                 6.96               10               0.61
2021/3/11 (Thursday) 5:4:23          74.75                 6.96               4               0.61
2021/3/11 (Thursday) 5:4:24          74.86                 6.94               10               0.65
2021/3/11 (Thursday) 5:4:25          74.75                 6.96               10               0.61
2021/3/11 (Thursday) 5:4:26          74.75                 6.96               4               0.66
2021/3/11 (Thursday) 5:4:27          74.86                 6.97               10               0.62
2021/3/11 (Thursday) 5:4:28          74.86                 6.97               6               0.66
2021/3/11 (Thursday) 5:4:29          74.86                 6.96               10               0.63
2021/3/11 (Thursday) 5:4:30          74.86                 6.97               4               0.61
2021/3/11 (Thursday) 5:4:31          74.86                 6.96               8               0.65
2021/3/11 (Thursday) 5:4:32          74.86                 6.97               4               0.61
2021/3/11 (Thursday) 5:4:33          74.75                 6.97               6               0.65
2021/3/11 (Thursday) 5:4:34          74.86                 6.99               12               0.60
2021/3/11 (Thursday) 5:4:35          74.86                 6.99               4               0.66
2021/3/11 (Thursday) 5:4:36          74.86                 6.97               10               0.61
2021/3/11 (Thursday) 5:4:37          74.86                 6.97               6               0.67
2021/3/11 (Thursday) 5:4:38          74.86                 6.96               10               0.66
2021/3/11 (Thursday) 5:4:39          74.86                 6.96               4               0.61
2021/3/11 (Thursday) 5:4:40          74.86                 6.96               8               0.66
2021/3/11 (Thursday) 5:4:41          74.86                 6.96               10               0.60
2021/3/11 (Thursday) 5:4:42          74.86                 6.97               6               0.66
2021/3/11 (Thursday) 5:4:43          74.86                 6.94               12               0.61
2021/3/11 (Thursday) 5:4:44          74.86                 6.96               8               0.66
2021/3/11 (Thursday) 5:4:45          74.86                 6.96               12               0.62
2021/3/11 (Thursday) 5:4:46          74.86                 6.96               4               0.63
2021/3/11 (Thursday) 5:4:47          74.86                 6.94               10               0.66
2021/3/11 (Thursday) 5:4:48          74.75                 6.97               10               0.61
2021/3/11 (Thursday) 5:4:49          74.86                 6.96               6               0.66
2021/3/11 (Thursday) 5:4:50          74.97                 6.96               8               0.60
2021/3/11 (Thursday) 5:4:51          74.86                 6.96               4               0.66
2021/3/11 (Thursday) 5:4:52          74.86                 6.97               8               0.62
2021/3/11 (Thursday) 5:4:53          74.75                 6.96               6               0.62
2021/3/11 (Thursday) 5:4:54          74.75                 6.99               10               0.66
2021/3/11 (Thursday) 5:4:55          74.75                 6.96               6               0.61
2021/3/11 (Thursday) 5:4:56          74.86                 6.96               6               0.67
2021/3/11 (Thursday) 5:4:57          74.86                 6.96               8               0.61
2021/3/11 (Thursday) 5:4:58          74.86                 6.96               4               0.65
2021/3/11 (Thursday) 5:4:59          74.86                 6.96               8               0.61
2021/3/11 (Thursday) 5:5:0          74.86                 6.96               2               0.67
2021/3/11 (Thursday) 5:5:1          74.86                 6.96               12               0.68
2021/3/11 (Thursday) 5:5:2          74.86                 6.96               4               0.65
2021/3/11 (Thursday) 5:5:3          74.86                 6.96               10               0.67
2021/3/11 (Thursday) 5:5:4          74.86                 6.96               10               0.62
2021/3/11 (Thursday) 5:5:5          74.86                 6.97               4               0.66
2021/3/11 (Thursday) 5:5:6          74.86                 6.97               12               0.61
2021/3/11 (Thursday) 5:5:7          74.86                 6.99               4               0.66
2021/3/11 (Thursday) 5:5:8          74.86                 6.96               10               0.61
2021/3/11 (Thursday) 5:5:9          74.86                 6.97               6               0.63
2021/3/11 (Thursday) 5:5:10          74.86                 6.96               10               0.68
2021/3/11 (Thursday) 5:5:11          74.86                 6.97               4               0.63
2021/3/11 (Thursday) 5:5:12          74.75                 6.94               2               0.67
2021/3/11 (Thursday) 5:5:13          74.86                 6.96               10               0.61
2021/3/11 (Thursday) 5:5:14          74.86                 6.96               4               0.65
2021/3/11 (Thursday) 5:5:15          74.86                 6.94               10               0.61
2021/3/11 (Thursday) 5:5:16          74.86                 6.96               8               0.66
2021/3/11 (Thursday) 5:5:17          74.86                 6.96               8               0.67
2021/3/11 (Thursday) 5:5:18          74.86                 6.96               6               0.63
2021/3/11 (Thursday) 5:5:19          74.86                 6.97               4               0.68
2021/3/11 (Thursday) 5:5:20          74.86                 6.96               8               0.63
2021/3/11 (Thursday) 5:5:21          74.86                 6.96               4               0.66
2021/3/11 (Thursday) 5:5:22          74.86                 6.97               10               0.61
2021/3/11 (Thursday) 5:5:23          74.86                 6.96               4               0.66
2021/3/11 (Thursday) 5:5:24          74.86                 6.96               10               0.61
2021/3/11 (Thursday) 5:5:25          74.86                 6.97               6               0.61
2021/3/11 (Thursday) 5:5:26          74.86                 6.97               10               0.68
2021/3/11 (Thursday) 5:5:27          74.86                 6.96               8               0.63
2021/3/11 (Thursday) 5:5:28          74.86                 6.96               4               0.68
2021/3/11 (Thursday) 5:5:29          74.86                 6.97               10               0.62
2021/3/11 (Thursday) 5:5:30          74.86                 6.94               4               0.66
2021/3/11 (Thursday) 5:5:31          74.86                 6.96               8               0.62
2021/3/11 (Thursday) 5:5:32          74.86                 6.96               6               0.61
2021/3/11 (Thursday) 5:5:33          74.86                 6.96               8               0.66
2021/3/11 (Thursday) 5:5:34          74.86                 6.96               4               0.61
2021/3/11 (Thursday) 5:5:35          74.86                 6.96               6               0.66
2021/3/11 (Thursday) 5:5:36          74.86                 6.96               10               0.61
2021/3/11 (Thursday) 5:5:37          74.86                 6.96               6               0.66
2021/3/11 (Thursday) 5:5:38          74.97                 6.97               8               0.63
2021/3/11 (Thursday) 5:5:39          74.86                 6.96               6               0.68
2021/3/11 (Thursday) 5:5:40          74.86                 6.96               8               0.68
2021/3/11 (Thursday) 5:5:41          74.75                 6.96               6               0.63
2021/3/11 (Thursday) 5:5:42          74.86                 6.97               12               0.68
2021/3/11 (Thursday) 5:5:43          74.86                 6.96               8               0.62
2021/3/11 (Thursday) 5:5:44          74.86                 6.99               6               0.66
2021/3/11 (Thursday) 5:5:45          74.86                 6.97               8               0.61
2021/3/11 (Thursday) 5:5:46          74.86                 6.97               6               0.66
2021/3/11 (Thursday) 5:5:47          74.86                 6.96               10               0.61
2021/3/11 (Thursday) 5:5:48          74.75                 6.97               6               0.62
2021/3/11 (Thursday) 5:5:49          74.86                 6.94               10               0.66
2021/3/11 (Thursday) 5:5:50          74.86                 6.96               15               0.63
2021/3/11 (Thursday) 5:5:51          74.86                 6.97               4               0.68
2021/3/11 (Thursday) 5:5:52          74.86                 6.96               10               0.63
2021/3/11 (Thursday) 5:5:53          74.86                 6.97               8               0.66
2021/3/11 (Thursday) 5:5:54          74.86                 6.96               10               0.62
2021/3/11 (Thursday) 5:5:55          74.86                 6.96               6               0.66
2021/3/11 (Thursday) 5:5:56          74.86                 6.94               10               0.67
2021/3/11 (Thursday) 5:5:57          74.86                 6.96               4               0.61
2021/3/11 (Thursday) 5:5:58          74.86                 6.96               8               0.66
2021/3/11 (Thursday) 5:5:59          74.86                 6.96               8               0.62
2021/3/11 (Thursday) 5:6:0          74.75                 6.97               6               0.66
2021/3/11 (Thursday) 5:6:1          74.86                 6.96               10               0.62
2021/3/11 (Thursday) 5:6:2          74.86                 6.94               4               0.68
2021/3/11 (Thursday) 5:6:3          74.86                 6.97               8               0.68
2021/3/11 (Thursday) 5:6:4          74.86                 6.96               6               0.64
2021/3/11 (Thursday) 5:6:5          74.86                 6.96               10               0.68
2021/3/11 (Thursday) 5:6:6          74.86                 6.97               12               0.63
2021/3/11 (Thursday) 5:6:7          74.86                 6.96               4               0.67
2021/3/11 (Thursday) 5:6:8          74.86                 6.96               10               0.61
2021/3/11 (Thursday) 5:6:9          74.86                 6.96               6               0.66
2021/3/11 (Thursday) 5:6:10          74.86                 6.96               10               0.63
2021/3/11 (Thursday) 5:6:11          74.75                 6.97               4               0.63
2021/3/11 (Thursday) 5:6:12          74.86                 6.94               10               0.68
2021/3/11 (Thursday) 5:6:13          74.86                 6.94               6               0.63
2021/3/11 (Thursday) 5:6:14          74.86                 6.97               4               0.68
2021/3/11 (Thursday) 5:6:15          74.86                 6.96               10               0.61
2021/3/11 (Thursday) 5:6:16          74.75                 6.97               4               0.66
2021/3/11 (Thursday) 5:6:17          74.86                 6.94               8               0.61
2021/3/11 (Thursday) 5:6:18          74.86                 6.96               4               0.66
