=~=~=~=~=~=~=~=~=~=~=~= PuTTY	log 202	1.01.31 20:02:45 =~=~	=~=~=~=~=~=~=~=~=~=
Temperature (In Fahrenheit)	pH	TDS (In PPM)	Turbidity (In NTU)
66.76	7.5	118	1762.45
66.87	7.54	118	1762.45
66.99	7.74	122	1762.45
66.99	7.72	122	1785.92
66.87	7.71	118	1762.45
66.99	7.64	118	1785.92
66.99	7.72	120	1785.92
66.99	7.74	122	1785.92
66.87	7.72	122	1762.45
66.99	7.55	118	1738.75
66.99	7.5	118	1738.75
66.99	7.72	124	1738.75
66.99	7.74	124	1738.75
66.87	7.59	122	1738.75
66.87	7.5	118	1738.75
66.87	7.72	118	1738.75
66.99	7.69	122	1738.75
66.87	7.71	122	1714.83
66.99	7.69	118	1714.83
66.87	7.72	120	1738.75
66.99	7.66	120	1738.75
66.99	7.52	122	1738.75
66.99	7.59	124	1714.83
66.99	7.72	120	1714.83
66.99	7.76	120	1738.75
66.99	7.52	124	1738.75
67.1	7.5	122	1714.83
66.99	7.62	120	1714.83
66.99	7.72	120	1714.83
67.1	7.74	120	1738.75
66.99	7.52	124	1738.75
66.99	7.49	124	1714.83
66.87	7.5	118	1714.83
66.99	7.72	122	1738.75
66.99	7.52	122	1738.75
66.99	7.52	120	1714.83
66.99	7.57	116	1714.83
66.99	7.72	118	1738.75
66.99	7.74	118	1738.75
66.99	7.52	122	1738.75
66.99	7.67	124	1714.83
66.99	7.49	122	1738.75
66.99	7.64	118	1738.75
66.99	7.76	124	1738.75
66.99	7.74	124	1738.75
66.99	7.72	120	1738.75
66.99	7.72	120	1738.75
66.99	7.54	120	1738.75
67.1	7.52	122	1738.75
67.1	7.5	124	1738.75
66.99	7.5	118	1738.75
66.99	7.72	120	1738.75
67.1	7.72	118	1738.75
67.1	7.74	122	1738.75
66.99	7.74	122	1714.83
67.1	7.72	118	1738.75
67.1	7.74	118	1738.75
67.1	7.74	122	1738.75
67.1	7.5	122	1738.75
67.1	7.52	118	1738.75
66.99	7.69	120	1738.75
67.1	7.49	118	1738.75
67.1	7.5	120	1738.75
67.1	7.54	122	1738.75
67.1	7.52	118	1738.75
67.1	7.52	118	1738.75
67.1	7.52	120	1738.75
67.1	7.5	122	1738.75
66.99	7.5	118	1738.75
67.1	7.5	122	1738.75
67.1	7.49	116	1738.75
67.1	7.52	122	1738.75
67.1	7.54	124	1738.75
67.1	7.74	120	1738.75
67.1	7.55	120	1738.75
67.1	7.76	122	1762.45
67.1	7.76	120	1738.75
67.1	7.64	122	1738.75
67.1	7.55	120	1738.75
67.1	7.52	118	1762.45
67.1	7.52	122	1762.45
67.1	7.49	122	1738.75
67.1	7.62	116	1738.75
67.1	7.76	120	1762.45
67.21	7.55	122	1762.45
67.21	7.52	122	1762.45
67.1	7.71	122	1738.75
66.99	7.74	116	1738.75
67.1	7.76	116	1762.45
67.1	7.74	124	1762.45
67.1	7.66	122	1738.75
67.1	7.71	120	1738.75
67.1	7.74	122	1762.45
67.1	7.54	118	1762.45
67.1	7.55	120	1762.45
67.1	7.74	122	1762.45
67.1	7.54	118	1762.45
67.1	7.52	116	1762.45
67.21	7.54	122	1762.45
67.21	7.64	122	1762.45
67.21	7.52	118	1762.45
67.1	7.5	120	1762.45
67.21	7.72	118	1785.92
67.21	7.71	120	1762.45
67.1	7.74	122	1762.45
67.1	7.52	118	1762.45
67.1	7.76	120	1762.45
67.1	7.59	122	1785.92
67.21	7.54	118	1762.45
67.21	7.74	122	1762.45
67.1	7.54	118	1762.45
67.1	7.5	118	1785.92
