=~=~=~=~=~=~=~=~=~=~=~= PuTTY	log 202	1.01.31 20:02:45 =~=~	=~=~=~=~=~=~=~=~=~=
67.21	7.67	122	1785.92
67.1	7.76	124	1762.45
67.1	7.72	118	1762.45
67.1	7.74	120	1762.45
67.1	7.74	122	1762.45
67.21	7.72	122	1738.75
67.1	7.71	122	1714.83
67.1	7.54	118	1690.68
67.1	7.74	118	1690.68
67.21	7.49	124	1666.31
67.21	7.72	125	1641.71
67.21	7.74	118	1641.71
67.21	7.74	118	1641.71
67.1	7.52	120	1666.31
67.21	7.6	122	1641.71
67.32	7.66	120	1641.71
67.21	7.72	120	1616.89
67.21	7.76	120	1641.71
67.21	7.54	124	1641.71
67.21	7.52	122	1616.89
67.21	7.69	118	1616.89
67.21	7.74	120	1616.89
67.21	7.76	118	1616.89
67.21	7.52	120	1591.85
67.21	7.69	122	1591.85
67.1	7.74	118	1591.85
67.21	7.52	120	1591.85
67.1	7.74	118	1591.85
67.21	7.76	122	1591.85
67.21	7.52	118	1566.58
67.21	7.5	122	1566.58
67.21	7.67	118	1591.85
67.21	7.74	120	1566.58
67.21	7.6	122	1566.58
67.1	7.5	116	1566.58
67.21	7.71	118	1566.58
67.21	7.78	124	1566.58
67.21	7.52	122	1541.09
67.1	7.72	122	1541.09
67.21	7.64	118	1541.09
67.21	7.54	118	1566.58
67.21	7.5	120	1566.58
67.1	7.74	122	1566.58
67.21	7.74	120	1566.58
67.1	7.52	122	1566.58
67.21	7.74	122	1591.85
67.32	7.76	122	1566.58
67.21	7.52	122	1566.58
67.21	7.76	120	1566.58
67.21	7.76	120	1591.85
67.21	7.52	122	1591.85
67.32	7.76	122	1591.85
67.21	7.54	116	1591.85
67.21	7.71	118	1591.85
67.21	7.57	122	1616.89
67.21	7.5	122	1616.89
67.21	7.74	122	1616.89
67.1	7.54	120	1616.89
67.21	7.71	120	1616.89
67.21	7.52	122	1616.89
67.21	7.72	120	1616.89
67.1	7.64	118	1616.89
67.21	7.66	120	1616.89
67.21	7.72	120	1641.71
67.21	7.54	124	1641.71
67.21	7.76	122	1616.89
67.32	7.78	118	1591.85
67.21	7.54	120	1641.71
67.21	7.78	124	1641.71
67.21	7.54	124	1616.89
67.1	7.74	120	1616.89
67.21	7.59	118	1641.71
67.21	7.62	120	1641.71
67.21	7.78	120	1641.71
67.21	7.5	122	1641.71
67.21	7.74	118	1641.71
67.21	7.55	120	1641.71
67.21	7.71	122	1666.31
67.21	7.76	124	1641.71
67.21	7.54	122	1641.71
67.21	7.66	118	1641.71
67.21	7.78	120	1666.31
67.21	7.54	120	1666.31
67.21	7.74	122	1641.71
67.1	7.57	118	1641.71
67.1	7.72	118	1666.31
67.21	7.78	122	1666.31
67.21	7.52	122	1666.31
67.21	7.74	122	1666.31
67.21	7.54	120	1666.31
67.1	7.74	120	1666.31
