=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.03.11 17:43:13 =~=~=~=~=~=~=~=~=~=~=~=

Initializing SD card...Card failed, or not present

Date & Time                  Temp (In Fahrenheit)          pH          TDS (In PPM)      Turbidity (In NTU)
2021/3/11 (Thursday) 5:42:49          75.09                 6.96               10               0.60
2021/3/11 (Thursday) 5:42:50          74.97                 6.97               4               0.61
2021/3/11 (Thursday) 5:42:51          75.09                 6.96               10               0.65
2021/3/11 (Thursday) 5:42:52          75.09                 6.96               10               0.61
2021/3/11 (Thursday) 5:42:53          74.97                 6.97               6               0.66
2021/3/11 (Thursday) 5:42:54          74.97                 6.96               10               0.62
2021/3/11 (Thursday) 5:42:55          75.09                 6.96               6               0.66
2021/3/11 (Thursday) 5:42:56          75.09                 6.96               10               0.63
2021/3/11 (Thursday) 5:42:57          74.97                 6.96               4               0.64
2021/3/11 (Thursday) 5:42:58          74.97                 6.97               10               0.67
2021/3/11 (Thursday) 5:42:59          74.97                 6.96               4               0.63
2021/3/11 (Thursday) 5:43:0          74.97                 6.96               4               0.67
2021/3/11 (Thursday) 5:43:1          74.97                 6.96               10               0.63
2021/3/11 (Thursday) 5:43:2          74.97                 6.97               4               0.68
2021/3/11 (Thursday) 5:43:3          74.97                 6.97               10               0.62
2021/3/11 (Thursday) 5:43:4          74.97                 6.96               6               0.66
2021/3/11 (Thursday) 5:43:5          74.97                 6.97               10               0.66
2021/3/11 (Thursday) 5:43:6          74.97                 6.97               4               0.61
2021/3/11 (Thursday) 5:43:7          75.09                 6.97               4               0.66
2021/3/11 (Thursday) 5:43:8          74.97                 6.97               10               0.62
2021/3/11 (Thursday) 5:43:9          74.97                 6.97               6               0.66
2021/3/11 (Thursday) 5:43:10          74.97                 6.96               10               0.63
2021/3/11 (Thursday) 5:43:11          74.97                 6.97               6               0.68
2021/3/11 (Thursday) 5:43:12          74.97                 6.97               10               0.64
2021/3/11 (Thursday) 5:43:13          74.97                 6.97               4               0.63
2021/3/11 (Thursday) 5:43:14          74.97                 6.97               10               0.68
2021/3/11 (Thursday) 5:43:15          74.97                 6.96               10               0.63
2021/3/11 (Thursday) 5:43:16          74.97                 6.97               4               0.67
2021/3/11 (Thursday) 5:43:17          75.09                 6.96               10               0.62
2021/3/11 (Thursday) 5:43:18          74.97                 6.97               4               0.66
2021/3/11 (Thursday) 5:43:19          75.09                 6.97               10               0.62
2021/3/11 (Thursday) 5:43:20          74.97                 6.96               6               0.62
2021/3/11 (Thursday) 5:43:21          75.09                 6.96               10               0.66
2021/3/11 (Thursday) 5:43:22          74.86                 6.96               6               0.63
2021/3/11 (Thursday) 5:43:23          74.97                 6.96               4               0.68
