=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.03.11 17:17:59 =~=~=~=~=~=~=~=~=~=~=~=

Initializing SD card...Card failed, or not present

Date & Time                  Temp (In Fahrenheit)          pH          TDS (In PPM)      Turbidity (In NTU)
2021/3/11 (Thursday) 5:19:3          74.64                 6.97               6               0.72
2021/3/11 (Thursday) 5:19:4          74.52                 6.97               8               0.68
2021/3/11 (Thursday) 5:19:5          74.52                 6.99               4               0.67
2021/3/11 (Thursday) 5:19:6          74.64                 6.96               8               0.71
2021/3/11 (Thursday) 5:19:7          74.52                 6.97               12               0.66
2021/3/11 (Thursday) 5:19:8          74.64                 6.97               4               0.70
2021/3/11 (Thursday) 5:19:9          74.64                 6.97               8               0.65
2021/3/11 (Thursday) 5:19:10          74.64                 6.99               4               0.70
2021/3/11 (Thursday) 5:19:11          74.64                 6.97               10               0.66
2021/3/11 (Thursday) 5:19:12          74.64                 6.99               4               0.67
2021/3/11 (Thursday) 5:19:13          74.64                 6.96               12               0.72
2021/3/11 (Thursday) 5:19:14          74.64                 6.96               6               0.68
2021/3/11 (Thursday) 5:19:15          74.64                 6.99               4               0.72
2021/3/11 (Thursday) 5:19:16          74.64                 6.96               10               0.66
2021/3/11 (Thursday) 5:19:17          74.52                 6.96               4               0.71
2021/3/11 (Thursday) 5:19:18          74.64                 6.97               10               0.66
2021/3/11 (Thursday) 5:19:19          74.52                 6.96               6               0.70
2021/3/11 (Thursday) 5:19:20          74.64                 6.97               8               0.68
2021/3/11 (Thursday) 5:19:21          74.52                 6.97               4               0.65
2021/3/11 (Thursday) 5:19:22          74.64                 6.97               10               0.71
2021/3/11 (Thursday) 5:19:23          74.64                 6.97               10               0.68
2021/3/11 (Thursday) 5:19:24          74.52                 6.97               4               0.72
2021/3/11 (Thursday) 5:19:25          74.64                 6.99               12               0.68
2021/3/11 (Thursday) 5:19:26          74.52                 6.97               6               0.72
2021/3/11 (Thursday) 5:19:27          74.52                 6.99               8               0.67
2021/3/11 (Thursday) 5:19:28          74.52                 6.97               2               0.66
2021/3/11 (Thursday) 5:19:29          74.64                 6.99               10               0.70
2021/3/11 (Thursday) 5:19:30          74.52                 6.97               10               0.66
2021/3/11 (Thursday) 5:19:31          74.64                 6.99               6               0.70
2021/3/11 (Thursday) 5:19:32          74.52                 6.99               8               0.68
2021/3/11 (Thursday) 5:19:33          74.64                 6.99               6               0.71
2021/3/11 (Thursday) 5:19:34          74.64                 6.99               10               0.66
2021/3/11 (Thursday) 5:19:35          74.52                 6.97               4               0.73
2021/3/11 (Thursday) 5:19:36          74.64                 6.99               12               0.72
