=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.03.11 18:37:42 =~=~=~=~=~=~=~=~=~=~=~=

Initializing SD card...Card failed, or not present

Date & Time                  Temp (In Fahrenheit)          pH          TDS (In PPM)      Turbidity (In NTU)
2021/3/11 (Thursday) 6:37:18          75.09                 6.96               10               -1.31
2021/3/11 (Thursday) 6:37:19          74.97                 6.96               4               -1.28
2021/3/11 (Thursday) 6:37:20          75.09                 6.96               8               -1.31
2021/3/11 (Thursday) 6:37:21          75.09                 6.96               4               -1.29
2021/3/11 (Thursday) 6:37:22          75.09                 6.96               10               -1.29
2021/3/11 (Thursday) 6:37:23          75.09                 6.94               4               -1.32
2021/3/11 (Thursday) 6:37:24          75.09                 6.96               4               -1.31
2021/3/11 (Thursday) 6:37:25          75.09                 6.96               10               -1.33
2021/3/11 (Thursday) 6:37:26          75.09                 6.96               6               -1.31
2021/3/11 (Thursday) 6:37:27          75.09                 6.96               10               -1.33
2021/3/11 (Thursday) 6:37:28          75.09                 6.97               4               -1.32
2021/3/11 (Thursday) 6:37:29          75.09                 6.96               10               -1.32
2021/3/11 (Thursday) 6:37:30          75.09                 6.94               6               -1.33
2021/3/11 (Thursday) 6:37:31          75.09                 6.94               10               -1.33
2021/3/11 (Thursday) 6:37:32          75.09                 6.94               10               -1.35
2021/3/11 (Thursday) 6:37:33          75.09                 6.96               4               -1.34
2021/3/11 (Thursday) 6:37:34          75.09                 6.94               10               -1.37
2021/3/11 (Thursday) 6:37:35          74.97                 6.94               4               -1.35
2021/3/11 (Thursday) 6:37:36          75.20                 6.94               10               -1.37
2021/3/11 (Thursday) 6:37:37          75.09                 6.94               4               -1.37
2021/3/11 (Thursday) 6:37:38          75.09                 6.94               10               -1.35
2021/3/11 (Thursday) 6:37:39          75.09                 6.94               6               -1.37
2021/3/11 (Thursday) 6:37:40          75.20                 6.96               6               -1.36
2021/3/11 (Thursday) 6:37:41          75.09                 6.94               10               -1.41
2021/3/11 (Thursday) 6:37:42          75.20                 6.96               4               -1.45
2021/3/11 (Thursday) 6:37:43          75.20                 6.96               10               -1.49
2021/3/11 (Thursday) 6:37:44          75.09                 6.97               6               -1.47
2021/3/11 (Thursday) 6:37:45          75.20                 6.94               10               -1.47
2021/3/11 (Thursday) 6:37:46          75.09                 6.96               6               -1.49
2021/3/11 (Thursday) 6:37:47          75.20                 6.96               8               -1.48
2021/3/11 (Thursday) 6:37:48          75.20                 6.97               10               -1.48
2021/3/11 (Thursday) 6:37:49          75.20                 6.97               4               -1.55
2021/3/11 (Thursday) 6:37:50          75.09                 6.94               8               -1.62
2021/3/11 (Thursday) 6:37:51          75.09                 6.94               6               -2.07
2021/3/11 (Thursday) 6:37:52          75.20                 6.96               10               -1.68
2021/3/11 (Thursday) 6:37:53          75.09                 6.94               6               -1.72
2021/3/11 (Thursday) 6:37:54          75.09                 6.96               10               -1.70
2021/3/11 (Thursday) 6:37:55          75.20                 6.94               10               -1.73
2021/3/11 (Thursday) 6:37:56          75.09                 6.92               8               -1.77
2021/3/11 (Thursday) 6:37:57          75.20                 6.92               8               -1.80
2021/3/11 (Thursday) 6:37:58          75.20                 6.94               8               -1.78
2021/3/11 (Thursday) 6:37:59          75.20                 6.96               10               -1.80
2021/3/11 (Thursday) 6:38:0          75.09                 6.94               6               -1.78
2021/3/11 (Thursday) 6:38:1          75.20                 6.94               12               -1.78
2021/3/11 (Thursday) 6:38:2          7
