=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.03.11 18:07:59 =~=~=~=~=~=~=~=~=~=~=~=

Initializing SD card...Card failed, or not present

Date & Time                  Temp (In Fahrenheit)          pH          TDS (In PPM)      Turbidity (In NTU)
2021/3/11 (Thursday) 6:7:35          74.86                 6.92               10               0.55
2021/3/11 (Thursday) 6:7:36          74.86                 6.90               4               0.62
2021/3/11 (Thursday) 6:7:37          74.86                 6.92               10               0.53
2021/3/11 (Thursday) 6:7:38          74.86                 6.90               4               0.60
2021/3/11 (Thursday) 6:7:39          74.86                 6.90               10               0.52
2021/3/11 (Thursday) 6:7:40          74.86                 6.92               6               0.54
2021/3/11 (Thursday) 6:7:41          74.86                 6.89               10               0.61
2021/3/11 (Thursday) 6:7:42          74.86                 6.92               4               0.55
2021/3/11 (Thursday) 6:7:43          74.75                 6.89               4               0.61
2021/3/11 (Thursday) 6:7:44          74.86                 6.94               10               0.53
2021/3/11 (Thursday) 6:7:45          74.75                 6.92               6               0.60
2021/3/11 (Thursday) 6:7:46          74.86                 6.90               10               0.53
2021/3/11 (Thursday) 6:7:47          74.86                 6.94               6               0.61
2021/3/11 (Thursday) 6:7:48          74.86                 6.90               10               0.61
2021/3/11 (Thursday) 6:7:49          74.75                 6.92               4               0.55
2021/3/11 (Thursday) 6:7:50          74.86                 6.90               8               0.62
2021/3/11 (Thursday) 6:7:51          74.86                 6.92               10               0.55
2021/3/11 (Thursday) 6:7:52          74.75                 6.90               6               0.60
2021/3/11 (Thursday) 6:7:53          74.75                 6.89               10               0.52
2021/3/11 (Thursday) 6:7:54          74.75                 6.92               4               0.59
2021/3/11 (Thursday) 6:7:55          74.86                 6.90               10               0.53
2021/3/11 (Thursday) 6:7:56          74.75                 6.92               4               0.54
2021/3/11 (Thursday) 6:7:57          74.86                 6.90               10               0.61
2021/3/11 (Thursday) 6:7:58          74.86                 6.92               10               0.55
2021/3/11 (Thursday) 6:7:59          74.86                 6.89               4               0.62
2021/3/11 (Thursday) 6:8:0          74.86                 6.92               10               0.54
2021/3/11 (Thursday) 6:8:1          74.86                 6.92               4               0.60
2021/3/11 (Thursday) 6:8:2          74.86                 6.90               10               0.53
2021/3/11 (Thursday) 6:8:3          74.75                 6.94               6               0.53
2021/3/11 (Thursday) 6:8:4          74.75                 6.90               10               0.60
2021/3/11 (Thursday) 6:8:5          74.75                 6.94               4               0.53
2021/3/11 (Thursday) 6:8:6          74.86                 6.92               6               0.61
2021/3/11 (Thursday) 6:8:7          74.86                 6.94               10               0.55
2021/3/11 (Thursday) 6:8:8          74.75                 6.90               4               0.62
2021/3/11 (Thursday) 6:8:9          74.86                 6.90               10               0.55
2021/3/11 (Thursday) 6:8:10          74.86                 6.92               4               0.62
2021/3/11 (Thursday) 6:8:11          74.86                 6.90               12               0.55
2021/3/11 (Thursday) 6:8:12          74.86                 6.92               6               0.55
2021/3/11 (Thursday) 6:8:13          74.86                 6.90               10               0.61
2021/3/11 (Thursday) 6:8:14          74.75                 6.92               10               0.53
2021/3/11 (Thursday) 6:8:15          74.75                 6.89               4               0.60
2021/3/11 (Thursday) 6:8:16          74.86                 6.90               10               0.52
2021/3/11 (Thursday) 6:8:17          74.75                 6.92               4               0.61
2021/3/11 (Thursday) 6:8:18          74.75                 6.89               12               0.55
2021/3/11 (Thursday) 6:8:19          74.75                 6.90               6               0.54
2021/3/11 (Thursday) 6:8:20          74.86                 6.92               10               0.63
2021/3/11 (Thursday) 6:8:21          74.75                 6.92               4               0.55
2021/3/11 (Thursday) 6:8:22          74.75                 6.89               4               0.63
2021/3/11 (Thursday) 6:8:23          74.75                 6.94               10               0.55
2021/3/11 (Thursday) 6:8:24          74.75                 6.92               4               0.61
2021/3/11 (Thursday) 6:8:25          74.75                 6.92               10               0.52
2021/3/11 (Thursday) 6:8:26          74.75                 6.92               2               0.60
2021/3/11 (Thursday) 6:8:27          74.86                 6.90               10               0.61
2021/3/11 (Thursday) 6:8:28          74.75                 6.94               6               0.55
2021/3/11 (Thursday) 6:8:29          74.86                 6.92               6               0.61
2021/3/11 (Thursday) 6:8:30          74.86                 6.94               12               0.55
2021/3/11 (Thursday) 6:8:31          74.75                 6.92               6               0.63
2021/3/11 (Thursday) 6:8:32          74.86                 6.90               10               0.56
2021/3/11 (Thursday) 6:8:33          74.75                 6.92               4               0.63
2021/3/11 (Thursday) 6:8:34          74.86                 6.90               8               0.54
2021/3/11 (Thursday) 6:8:35          74.75                 6.90               4               0.54
2021/3/11 (Thursday) 6:8:36          74.86                 6.90               10               0.61
2021/3/11 (Thursday) 6:8:37          74.75                 6.92               8               0.53
2021/3/11 (Thursday) 6:8:38          74.86                 6.90               6               0.60
2021/3/11 (Thursday) 6:8:39          74.75                 6.92               8               0.53
2021/3/11 (Thursday) 6:8:40          74.75                 6.90               6               0.63
2021/3/11 (Thursday) 6:8:41          74.86                 6.89               8               0.55
2021/3/11 (Thursday) 6:8:42          74.75                 6.92               8               0.57
2021/3/11 (Thursday) 6:8:43          74.86                 6.90               8               0.63
2021/3/11 (Thursday) 6:8:44          74.75                 6.92               6               0.55
2021/3/11 (Thursday) 6:8:45          74.75                 6.90               8               0.61
2021/3/11 (Thursday) 6:8:46          74.75                 6.92               8               0.53
2021/3/11 (Thursday) 6:8:47          74.75                 6.94               2               0.60
2021/3/11 (Thursday) 6:8:48          74.86                 6.90               8               0.53
2021/3/11 (Thursday) 6:8:49          74.75                 6.94               4               0.63
2021/3/11 (Thursday) 6:8:50          74.86                 6.92               10               0.63
2021/3/11 (Thursday) 6:8:51          74.75                 6.92               4               0.56
2021/3/11 (Thursday) 6:8:52          74.75                 6.90               10               0.63
2021/3/11 (Thursday) 6:8:53          74.75                 6.90               10               0.55
2021/3/11 (Thursday) 6:8:54          74.75                 6.90               6               0.63
2021/3/11 (Thursday) 6:8:55          74.86                 6.90               10               0.55
2021/3/11 (Thursday) 6:8:56          74.86                 6.90               4               0.61
2021/3/11 (Thursday) 6:8:57          74.86                 6.89               10               0.55
2021/3/11 (Thursday) 6:8:58          74.75                 6.92               4               0.55
2021/3/11 (Thursday) 6:8:59          74.86                 6.89               10               0.63
2021/3/11 (Thursday) 6:9:0          74.75                 6.92               10               0.56
2021/3/11 (Thursday) 6:9:1          74.75                 6.89               6               0.63
2021/3/11 (Thursday) 6:9:2          74.86                 6.90               8               0.56
2021/3/11 (Thursday) 6:9:3          74.86                 6.94               4               0.61
2021/3/11 (Thursday) 6:9:4          74.86                 6.90               8               0.55
2021/3/11 (Thursday) 6:9:5          74.86                 6.90               6               0.61
2021/3/11 (Thursday) 6:9:6          74.86                 6.90               10               0.62
2021/3/11 (Thursday) 6:9:7          74.86                 6.94               4               0.55
2021/3/11 (Thursday) 6:9:8          74.86                 6.90               4               0.62
2021/3/11 (Thursday) 6:9:9          74.86                 6.92               10               0.57
2021/3/11 (Thursday) 6:9:10          74.75                 6.90               6               0.63
2021/3/11 (Thursday) 6:9:11          74.75                 6.89               10               0.57
2021/3/11 (Thursday) 6:9:12          74.86                 6.90               4               0.61
2021/3/11 (Thursday) 6:9:13          74.75                 6.89               8               0.61
2021/3/11 (Thursday) 6:9:14          74.75                 6.92               6               0.54
2021/3/11 (Thursday) 6:9:15          74.86                 6.87               10               0.62
2021/3/11 (Thursday) 6:9:16          74.86                 6.92               12               0.55
2021/3/11 (Thursday) 6:9:17          74.75                 6.87               4               0.63
2021/3/11 (Thursday) 6:9:18          74.86                 6.90               12               0.57
2021/3/11 (Thursday) 6:9:19          74.86                 6.92               4               0.62
2021/3/11 (Thursday) 6:9:20          74.86                 6.90               10               0.56
2021/3/11 (Thursday) 6:9:21          74.75                 6.92               6               0.56
2021/3/11 (Thursday) 6:9:22          74.86                 6.90               12               0.63
2021/3/11 (Thursday) 6:9:23          74.75                 6.94               6               0.55
2021/3/11 (Thursday) 6:9:24          74.75                 6.90               2               0.62
2021/3/11 (Thursday) 6:9:25          74.86                 6.92               8               0.54
2021/3/11 (Thursday) 6:9:26          74.86                 6.90               4               0.61
2021/3/11 (Thursday) 6:9:27          74.86                 6.90               8               0.55
2021/3/11 (Thursday) 6:9:28          74.75                 6.92               6               0.65
2021/3/11 (Thursday) 6:9:29          74.86                 6.89               10               0.64
2021/3/11 (Thursday) 6:9:30          74.75                 6.92               4               0.56
2021/3/11 (Thursday) 6:9:31          74.75                 6.89               8               0.63
2021/3/11 (Thursday) 6:9:32          74.75                 6.90               8               0.55
2021/3/11 (Thursday) 6:9:33          74.75                 6.90               4               0.62
2021/3/11 (Thursday) 6:9:34          74.75                 6.89               10               0.55
2021/3/11 (Thursday) 6:9:35          74.75                 6.92               2               0.63
2021/3/11 (Thursday) 6:9:36          74.86                 6.89               8               0.57
2021/3/11 (Thursday) 6:9:37          74.75                 6.92               4               0.57
2021/3/11 (Thursday) 6:9:38          74.75                 6.90               12               0.64
2021/3/11 (Thursday) 6:9:39          74.75                 6.90               10               0.55
2021/3/11 (Thursday) 6:9:40          74.86                 6.89               6               0.62
2021/3/11 (Thursday) 6:9:41          74.75                 6.94               10               0.55
2021/3/11 (Thursday) 6:9:42          74.75                 6.92               6               0.63
2021/3/11 (Thursday) 6:9:43          74.86                 6.90               8               0.56
2021/3/11 (Thursday) 6:9:44          74.75                 6.92               8               0.62
2021/3/11 (Thursday) 6:9:45          74.75                 6.90               8               0.63
2021/3/11 (Thursday) 6:9:46          74.75                 6.92               4               0.55
2021/3/11 (Thursday) 6:9:47          74.86                 6.90               6               0.63
2021/3/11 (Thursday) 6:9:48          74.75                 6.90               10               0.54
2021/3/11 (Thursday) 6:9:49          74.75                 6.89               4               0.62
2021/3/11 (Thursday) 6:9:50          74.75                 6.89               10               0.57
2021/3/11 (Thursday) 6:9:52          74.75                 6.92               6               0.65
